以斯拉記
第一章
 	居魯士王的心靈蒙神喚醒下旨建殿
（代下36:22~23）
1	波斯王居魯士元年，耶和華為要實現他藉著耶利米所說的話，就喚醒波斯王居魯士的心靈，使他發諭令、下詔書，通告全國，說：
2	“波斯王居魯士這樣說：‘耶和華天上的神已經把地上的萬國賜給我，又指派我在猶大的耶路撒冷為他建殿。
3	你們當中每一個屬他的子民（願神與他的子民同在），都可以上猶大的耶路撒冷去，重建耶和華以色列神的殿；他是在耶路撒冷的神。
4	每一個餘民，無論寄居在甚麼地方，當地的人都要支援他金銀、財物、牲畜；此外還有為耶路撒冷神的殿甘心奉獻的禮物。’”
 	神也喚醒以色列人的心靈回歸
5	於是，猶大和便雅憫的各族長，以及祭司們和利未人——凡是被神喚醒心靈的人都準備好，要上耶路撒冷去建造耶和華的殿。
6	所有在他們周圍的人都用銀器、金子、財物、牲畜和珍貴的禮物資助他們，另外還有各種甘心奉獻的禮物。
7	居魯士王也把耶和華殿裡的器物拿出來（從前尼布甲尼撒從耶路撒冷把這些器物拿去，放在自己的神廟裡）。
8	波斯王居魯士派司庫官米提利達經手把這些器物拿出來，點交給猶大的領袖設巴薩。
9	以下是器物的數量：金盤三十個、銀盤一千個、刀二十九把、
10	金碗三十個、成對的銀碗四百一十對、其他的器物一千件。
11	金銀器物總共五千四百件。當被擄的人從巴比倫上耶路撒冷去的時候，設巴薩把這一切都帶上去。
第二章
 	以色列回歸者名單
（尼7:6~73）
1	以下這些省民從前被巴比倫王尼布甲尼撒擄到巴比倫去，現在他們從被擄流放之地上來，回到耶路撒冷和猶大，各歸自己的城鎮。
2	他們與所羅巴伯、耶書亞、尼希米、西萊雅、利來雅、末底凱、彼商、米斯拔、比革瓦伊、利宏、巴拿一起回來。以色列民男子的數目如下：
3	帕歐的子孫二千一百七十二人；
4	示法提雅的子孫三百七十二人；
5	亞拉的子孫七百七十五人；
6	巴哈摩押的子孫，屬於耶書亞和約押的子孫的，二千八百一十二人；
7	以攔的子孫一千二百五十四人；
8	薩土的子孫九百四十五人；
9	薩改的子孫七百六十人；
10	巴尼的子孫六百四十二人；
11	比拜的子孫六百二十三人；
12	押甲的子孫一千二百二十二人；
13	亞多尼干的子孫六百六十六人；
14	比革瓦伊的子孫二千零五十六人；
15	亞丁的子孫四百五十四人；
16	亞特的子孫，屬於希西家的，九十八人；
17	比宰的子孫三百二十三人；
18	約拉的子孫一百一十二人；
19	哈順的子孫二百二十三人；
20	吉罷珥的子孫九十五人；
21	伯利恆人一百二十三人；
22	尼陀法人五十六人；
23	亞拿突人一百二十八人；
24	亞斯瑪弗人四十二人；
25	耶琳鎮人、基非拉人和井鎮人，共七百四十三人；
26	拉瑪人和迦巴人，共六百二十一人；
27	默瑪人一百二十二人；
28	伯特利人和艾人，共二百二十三人；
29	尼波人五十二人；
30	瑪革比士人一百五十六人；
31	另一個以攔的人一千二百五十四人；
32	哈琳人三百二十人；
33	羅德人、哈第人和歐諾人，共七百二十五人；
34	耶利哥人三百四十五人；
35	西拿人三千六百三十人。
36	祭司：耶達雅的子孫，屬於耶書亞家的，九百七十三人；
37	音麥的子孫一千零五十二人；
38	巴施戶珥的子孫一千二百四十七人；
39	哈琳的子孫一千零一十七人；
40	利未人：耶書亞和甲米爾的子孫，屬於何達威雅子孫的，共七十四人。
41	歌手：亞薩的子孫一百二十八人。
42	門衛：沙龍的子孫、亞特的子孫、達們的子孫、阿谷布的子孫、哈底達的子孫和朔拜的子孫，共一百三十九人。
43	殿役：西哈的子孫、哈蘇巴的子孫、答巴俄的子孫、
44	基綠的子孫、西亞的子孫、巴頓的子孫、
45	利巴拿的子孫、哈迦巴的子孫、阿谷布的子孫、
46	哈甲的子孫、薩買的子孫、哈楠的子孫、
47	吉德的子孫、迦哈的子孫、利亞雅的子孫、
48	利汛的子孫、尼哥達的子孫、迦散的子孫、
49	烏撒的子孫、巴西亞的子孫、比塞的子孫、
50	押拿的子孫、米烏寧的子孫、尼普心的子孫、
51	巴卜的子孫、哈古巴的子孫、哈忽的子孫、
52	巴洗律的子孫、米希達的子孫、哈沙的子孫、
53	巴柯的子孫、西西拉的子孫、答瑪的子孫、
54	尼細亞的子孫、哈提法的子孫。
55	所羅門僕人的子孫：瑣泰的子孫、瑣斐列的子孫、比路達的子孫、
56	雅拉的子孫、達昆的子孫、吉德的子孫、
57	示法提雅的子孫、哈替的子孫、玻黑列哈斯巴音的子孫、亞米的子孫。
58	所有殿役和所羅門僕人的子孫，共三百九十二人。
59	以下是從特米拉、特哈薩、基綠、雅但和音麥上來的人；他們無法指明自己的父家或後裔來確定他們屬以色列人：
60	德萊雅的子孫、拓比雅的子孫和尼哥達的子孫，共六百五十二人。
61	祭司的子孫中，有哈巴雅的子孫、哈哥斯的子孫和巴西萊的子孫（巴西萊娶了基列人巴西萊的一個女兒為妻，所以也起名叫巴西萊）。
62	這些人在族譜中查找自己的記錄，卻找不到，因此被視為不潔淨，不能做祭司。
63	省長對他們說，不可吃任何至聖之物，直到可以用烏陵和土明的祭司出現。
64	全體會眾共有四萬二千三百六十人。
65	此外，還有他們的僕人和婢女七千三百三十七人，又有男女歌手二百人。
66	他們有七百三十六匹馬、二百四十五頭騾子、
67	四百三十五匹駱駝、六千七百二十頭驢。
68	有些族長到了耶路撒冷耶和華殿的原址，就為神的殿甘心奉獻，好把殿在原址重建起來。
69	他們按自己的能力，為這工程捐獻給庫房六萬一千達利克金子、五千瑪納銀子、一百件祭司禮服。
70	於是祭司和利未人、部分人民，以及歌手、門衛、殿役，都住在自己的城鎮；所有以色列人都住在自己的城鎮。
第三章
 	回歸者重建祭壇
1	到了七月，以色列人已在各城安頓；他們團結一致，到耶路撒冷聚集。
2	約薩達的兒子耶書亞和他的祭司弟兄們，以及撒拉鐵的兒子所羅巴伯和他的弟兄們都起來，建造以色列神的祭壇，為要照著神人摩西律法書上所寫的，在祭壇上獻燔祭。
3	他們雖然懼怕當地那些民族，但仍在原址築起祭壇；他們又在祭壇上向耶和華獻早晨和傍晚的燔祭。
4	他們又照律法書上所寫的守住棚節，每天照規定的數目獻上當天該獻的燔祭，
5	跟著又獻上常獻的燔祭、新月節的燔祭、所有耶和華聖節的燔祭，以及所有獻給耶和華的甘心祭。
6	從七月一日起，他們開始向耶和華獻燔祭，但是那時耶和華的殿宇還沒有奠立根基。
7	他們把銀子給石匠和木匠，把食物、飲料和油給西頓人和推羅人，好照著波斯王居魯士所給他們的許可，把雪松木從黎巴嫩經海運送到約帕。
