路得記
第一章
 	以利米勒與妻兒遷居摩押
1	當士師治理的時候，猶大地發生饑荒。有一個人帶著妻子及兩個兒子離開猶大的伯利恆，去摩押地寄居。
2	這人名叫以利米勒，妻子名叫娜娥米，他兩個兒子名叫瑪哈隆和基利雍。他們是以法他人，來自猶大的伯利恆。他們到了摩押地，就留在那裡。
3	後來娜娥米的丈夫以利米勒去世，剩下她和兩個兒子。
4	他們都娶了摩押女子為妻，一個名字是娥珥芭，另一個是路得。他們住在那裡約有十年。
5	後來，瑪哈隆和基利雍二人也死了，剩下娜娥米，沒有兒子，也沒有丈夫。
6	娜娥米帶著兒媳婦起身，從摩押地回去，因為她在摩押地聽說耶和華眷顧他的子民，賜糧食給他們。
7	於是她從所在的地方出去，兩個兒媳婦跟著她，她們起程回猶大地去。
8	娜娥米對兩個兒媳婦說：“走吧，各自回娘家去吧！願耶和華以忠誠之愛對待你們，像你們以忠誠之愛對待已死的人和我一樣。
9	願耶和華賞賜你們，使你們各自在自己丈夫的家中找到歸宿！”然後，她親吻她們，她們就放聲大哭，
10	對她說：“我們要與你一起回到你的族民那裡去。”
11	娜娥米說：“回去吧，我的女兒們！為何要跟我去呢？我腹中能再有兒子給你們作丈夫嗎？
12	回去吧，我的女兒們！走吧！我太老了，不能再有丈夫。就算我說我有希望今夜有丈夫，而且生了兒子，
13	難道你們就等他們長大嗎？難道你們就不許自己嫁人嗎？我女兒們，不行啊！其實我比你們還要苦得多，因為耶和華伸手攻擊我。”
14	她們再度放聲大哭。娥珥芭與婆婆吻別，路得卻緊跟著娜娥米。
15	娜娥米說：“看哪，你嫂嫂已經回到她的族民和她的神明那裡去了。你也跟著嫂嫂回去吧！”
16	路得卻說：“不要勸我離開你，轉去不跟隨你。你往哪裡去，我也往哪裡去；你在哪裡過夜，我也在哪裡過夜；你的族民就是我的族民，你的神就是我的神。
17	你死在哪裡，我也死在哪裡，並且葬在哪裡。除非死亡使你我分離；不然，願耶和華嚴厲地對付我。”
18	娜娥米見路得堅決要跟她去，就不再對她多說了。
19	她們二人行走，一直來到伯利恆。當她們來到伯利恆的時候，全城因她們騷動。婦女們說：“這是娜娥米嗎？”
20	娜娥米對她們說：“不要叫我娜娥米，要叫我瑪拉，因為全能者使我吃盡苦頭。
21	我滿滿地出去，耶和華使我空空地回來，你們為甚麼還叫我娜娥米呢？耶和華控訴我，全能者降禍於我。”
22	娜娥米回來了，她和兒媳婦摩押女子路得一起從摩押地回來。她們來到伯利恆，正是開始收割大麥的時候。
第二章
 	路得在波阿斯的田間
1	娜娥米丈夫的一個親戚是個有才德的財主，屬以利米勒的親族，名叫波阿斯。
2	摩押女子路得對娜娥米說：“讓我到田裡去拾取麥穗，我在誰的眼裡蒙恩，我就跟在誰的後面。”娜娥米說：“我的女兒啊，你儘管去吧！”
3	路得就去了。她來到田間，在收割的人身後拾取麥穗。她恰巧來到以利米勒親族波阿斯的那塊田裡。
4	當時，波阿斯剛從伯利恆來，對收割的人說：“願耶和華與你們同在！”他們對他說：“願耶和華賜福給你！”
5	波阿斯對監督收割的僕人說：“這年輕女子是誰家的？”
6	監督收割的僕人回答：“她是摩押女子，與娜娥米從摩押地回來。
7	她說：‘請讓我拾取麥穗，讓我在收割的人後面拾取打捆剩下的麥穗。’她就來了，從早晨直到現在，除了在屋裡坐一會兒，她都留在這裡。”
 	波阿斯厚待路得
8	波阿斯對路得說：“我的女兒啊，要聽我說，不要往別的田去拾取麥穗，也不要離開這裡，要緊跟著我的女僕們。
9	盯住收割的那塊田，走在她們的後面。我已經清楚吩咐僕人們不可欺負你。你渴了，可以到水缸那裡喝僕人們打來的水。”
10	路得就臉伏於地下拜，對他說：“我是外族人，為甚麼會在你的眼裡蒙恩，蒙受關照呢？”
11	波阿斯回答她：“你丈夫死後，你對婆婆所做的一切，以及你怎樣離開父母和出生地，來到從前不認識的族民中間，人都告訴我了。
12	願耶和華報償你的行為。你來投靠在耶和華以色列神的翅膀下，願你滿得他的報償。”
13	路得說：“我主，願我在你眼裡蒙恩，雖然我連你的婢女都不如，你還是安慰我，對我說關心鼓勵的話。”
14	到了吃餅的時候，波阿斯對路得說：“到這裡來吃一點餅，拿你那片餅蘸著醋吃。”路得就在收割的人旁邊坐下來。波阿斯把一些烘好的麥穗遞給她，她吃得飽足，還有剩餘。
15	她就起來拾取麥穗，這時波阿斯吩咐他的僕人：“即使她在禾捆中拾取麥穗，也不可羞辱她。
16	你們甚至要從禾捆中抽出一些來，留給她去拾取，不可斥責她。”
 	路得與娜娥米分享白天經歷
17	這樣，路得在田間拾取麥穗，直到晚上。她將所拾取的麥穗打了，約有一伊法大麥。
18	她就把所拾取的帶進城。她的婆婆看到她所拾取的。她又把吃飽所剩的拿出來給婆婆。
19	她的婆婆對她說：“你今天在哪裡拾取麥穗？在哪裡工作呢？願那關照你的人蒙福。”她就告訴婆婆她在誰那裡工作，她說：“那人名叫波阿斯，我今天在他那裡工作。”
20	娜娥米對兒媳婦說：“願那人蒙耶和華賜福！無論對待活人還是死人，耶和華的忠誠之愛從不停止。”娜娥米又對她說：“那人是我們的親戚，他是我們的贖業親屬。”
21	摩押女子路得說：“他還告訴我：‘你要緊跟著我的僕人拾取麥穗，直到他們收割完我的莊稼。’”
22	娜娥米對兒媳婦路得說：“我的女兒啊，你最好跟著他的女僕們一起出去，免得你在別人的田裡被欺負。”
23	於是她緊跟著波阿斯的女僕們拾取麥穗，直到大麥和小麥收割完畢；路得一直與婆婆住在一起。
第三章
 	娜娥米為路得找歸宿
1	路得的婆婆娜娥米對她說：“我的女兒啊，我一定要為你找個歸宿，使你過好日子。
2	你看，波阿斯是我們的親戚！你與他的女僕們常在一起。你知道嗎？他今夜會在碾禾場上揚大麥。
3	你要沐浴抹膏，穿上外衣，下到碾禾場。不要讓那人認出你來，直到他吃喝完了。
4	他躺下的時候，你要弄清楚他躺臥的地方，就進去掀開他腳上的被子，躺下去，他會告訴你當做的事。”
5	路得對她說：“你吩咐我的一切，我都會去做。”
 	路得獨往碾禾場夜訪波阿斯
6	於是，她下到碾禾場，照著婆婆吩咐的一切去做。
7	波阿斯吃喝完了，心滿意足，就去躺在麥堆的旁邊。路得悄悄地過去，掀開他腳上的被子，躺下去。
8	到了半夜，那人驚醒，翻過身來——竟然有女子躺在他的腳旁！
9	他就問：“你是誰？”她回答：“我是你的婢女路得。求你用你衣服的邊緣遮蓋我，因為你是我的贖業親屬。”
