阿摩司書
第一章
 	阿摩司看見的異象
1	猶大王烏西雅和以色列王約阿施的兒子耶羅波安在位期間，在大地震以前二年，阿摩司看見關於以色列的異象；阿摩司是在提哥亞飼養羊群的人，他的話記在下面。
2	他說：“耶和華從錫安怒吼，從耶路撒冷發聲；牧人的草場悲哀，迦密的山頂枯乾。”
 	懲罰亞蘭
3	耶和華這樣說：“因為大馬士革三番四次犯罪，我不會收回懲罰；因為他們用碾禾的鐵齒蹂躪基列。
4	我要降火在哈薛的王宮，火會吞滅便哈達的城堡。
5	我要折斷大馬士革的門閂，剪除亞文平原的王，以及伯伊甸手執權杖的首領；亞蘭人民也會被擄到吉珥。”這是耶和華說的。
 	懲罰非利士
6	耶和華這樣說：“因為迦薩三番四次犯罪，我不會收回懲罰；因為他們帶走全部俘虜，交給伊東。
7	我要降火在迦薩的城牆，火會吞滅她的城堡；
8	我要剪除亞實突的王，以及亞實基倫手執權杖的首領；我要轉手攻擊以革倫，非利士餘剩的人都會滅絕。”這是主耶和華說的。
 	懲罰推羅
9	耶和華這樣說：“因為推羅三番四次犯罪，我不會收回懲罰；因為他們把全部俘虜交給伊東，不記念與兄弟所立的盟約。
10	我要降火在推羅的城牆，火會吞滅她的城堡。”
 	懲罰伊東
11	耶和華這樣說：“因為伊東三番四次犯罪，我不會收回懲罰；因為他拿刀追殺他的兄弟，沒有絲毫憐憫；他的怒氣不斷爆發，他的憤怒永不止息。
12	我要降火在提幔，火會吞滅波斯拉的城堡。”
 	懲罰亞捫
13	耶和華這樣說：“因為亞捫人三番四次犯罪，我不會收回懲罰；因為他們為了擴張領土，甚至剖開基列的孕婦。
14	在戰爭之日的吶喊中，在風雨天的暴風中；我要在拉巴的城牆放火，火會吞滅她的城堡。
15	他們的君王會被擄走，君臣一同被擄。”這是耶和華說的。
第二章
 	懲罰摩押
1	耶和華這樣說：“因為摩押三番四次犯罪，我不會收回懲罰；因為他把伊東王的骸骨焚燒成灰。
2	我要降火在摩押，火會吞滅卡略的城堡；摩押會在擾攘中死去，在吶喊中、在吹角聲中滅亡。
3	我要剪除她當中的掌權者，把她屬下所有長官殺死。”這是耶和華說的。
 	懲罰猶大
4	耶和華這樣說：“因為猶大三番四次犯罪，我不會收回懲罰；因為他們棄絕耶和華的律法，不遵守他的規定；他們列祖跟從的那些假神，使他們步入歧途。
5	我要降火在猶大，火會吞滅耶路撒冷的城堡。”
 	懲罰以色列
6	耶和華這樣說：“因為以色列三番四次犯罪，我不會收回懲罰；因為他們為了一點銀子賣掉義人，為一雙鞋賣掉貧窮的人。
7	他們把窮人的頭踐踏在地面的塵土上，他們歪曲窮苦人應有的權益；父子與同一個少女交合，因而褻瀆我的聖名。
8	他們在各祭壇旁，躺臥在別人抵押的衣服上面；在他們神的殿中，喝那用榨取​的​罰款​買來的酒。
