彼得後書
第一章
 	問候
1	我是西門彼得，耶穌基督的奴僕和使徒，如今寫信給你們；你們藉著我們的神和救主耶穌基督的義，蒙神選中得以領受寶貴的信仰，與我們領受的信仰同樣寶貴。
2	願恩典、平安，因為你們認識神和我們的主耶穌，多多加給你們！
 	信徒應當追求長進
3	因為我們認識那位用自己的榮耀和美善呼召我們的主，神就以他神聖的能力，賜給我們生命和敬虔所需要的一切。
4	他藉著自己的榮耀和美善，賜給我們種種極大的寶貴應許，好讓你們藉以逃脫世上因私慾而來的敗壞，就可以分享神的本性。
5	正是為了這個緣故，你們要全力以赴：有了信心，又要增添美德；有了美德，又要增添知識；
6	有了知識，又要增添節制；有了節制，又要增添堅忍；有了堅忍，又要增添敬虔；
7	有了敬虔，又要增添弟兄之情；有了弟兄之情，還要增添愛。
8	因為你們如果擁有這些品德，並且不斷提高，就不會在認識我們的主耶穌基督這事上閒懶或不結果子。
9	要知道，人如果沒有這幾樣，就是盲眼、近視，忘記他過去的罪已得潔淨。
10	所以弟兄們，你們要更加努力，使你們所蒙的呼召和揀選堅定不移，因為你們如果實行這幾樣，就絕不會跌倒。
11	這樣，你們就會得到豐富的供應，可以進入我們的主和救主耶穌基督永遠的王國。
12	因此，雖然你們已經知道這些事，又在你們已有的真道上得到堅固，我還是要時常提醒你們。
13	只要我還在這帳篷裡，我認為就理應提醒你們，使你們常常警醒，
14	因為我知道，我這帳篷很快就會被棄置了，正如我們的主耶穌基督清楚指示我的那樣。
15	我也要努力，使你們在我去世以後仍然時常想起這些事。
 	信徒和先知都為基督作見證
16	要知道，我們從前向你們講明我們主耶穌基督的大能和他的降臨，並不是隨從一些精心杜撰的故事；相反，我們是親眼見過他威榮的人。
17	的確，他從父神那裡得到尊貴榮耀的時候，有這樣的聲音在極顯赫的榮耀裡對他說：“這是我的愛子，我喜悅他。”
18	這從天上發出的聲音，是我們和他一起在聖山上親自聽見的。
19	我們還有非常確實的先知話語，你們要特別留心才好，好像留心在暗處照耀的明燈，直到天亮、晨星在你們心裡出現的時候。
20	最要緊的是你們要知道：聖經裡所有的先知話語，都不是出於先知自己的見解，
21	因為先知話語從來不是出於人意，而是人受聖靈感動說出從神而來的話。
第二章
 	提防假先知和假教師
1	不過，從前在人民當中有假先知，將來在你們當中也同樣有假教師；他們會偷偷引進種種使人滅亡的異端，甚至背棄那曾經買贖他們的主宰，迅速地自取滅亡。
2	許多人會隨從他們的淫蕩，以致真理的道路因他們的緣故被人褻瀆。
3	他們因為貪心就想用捏造的話在你們身上圖利；他們的懲罰自古以來都沒有鬆懈，他們的滅亡也不打盹。
4	要知道，既然神沒有姑息犯罪的天使，反而用幽冥的鎖鏈把他們囚禁在冥坑裡，保留下來等候交去審判；
5	既然神也沒有姑息上古的世界，反而使洪水臨到那些不敬虔者的世界，只保護了傳義道的挪亞一家八口；
6	既然神又判定了所多瑪、蛾摩拉的罪，傾覆二城，燒成灰燼，作為後世不敬虔者的鑒戒，
7	只救了義人羅得，他因惡人的淫蕩而常受欺壓之苦——
8	因為這義人住在他們當中，耳聞目睹他們不法的事，他公義的心就天天傷痛；
9	那麼，主當然知道怎樣拯救敬虔的人脫離試煉，而把不義的人保留下來等候在審判的日子受刑罰，
10	尤其是那些隨從肉體本能、生活在污穢的私慾裡、又輕蔑主的權威的人。他們膽大任性，毀謗眾尊榮者也不戰慄。
11	然而眾天使雖有更大的力量和權能，也不在主面前控告他們毀謗。
12	可是這些人呢，他們毀謗自己不明白的事，好像沒有理性的動物，生下來本就是要給人捕獲和宰殺，也必在他們的滅亡裡被毀滅，
13	他們受傷害，就是自己行不義的酬勞。他們以在白晝縱情為樂，他們是污點、瑕疵，和你們一起聚餐時縱情於自己的享樂，
14	滿眼都是與他們通姦的婦人，而且不住地犯罪，引誘心志不堅固的人，貪婪成性，是該受詛咒的人。
