彌迦書
第一章
 	關於撒瑪利亞和耶路撒冷的異象
1	約坦、亞哈斯、希西家這幾位猶大王在位期間，耶和華的話臨到摩利沙人彌迦，是他所看見關於撒瑪利亞和耶路撒冷的異象。
2	萬民啊，要聽！大地和大地所充滿的，都要留心聽！願主耶和華從他的聖殿出來，指控你們！
3	看哪，耶和華從他的居所出來！他將要降臨，踏足大地的高處。
4	在他腳下群山熔化，諸谷崩裂，如蠟在火前，像水瀉下陡坡。
5	這都是因雅各的過犯，因以色列家的種種罪惡。雅各的過犯是甚麼？不就是撒瑪利亞嗎？猶大的丘壇是甚麼？不就是耶路撒冷嗎？
6	因此我要使撒瑪利亞變為田野的廢墟、開墾葡萄園之處；我要使她的石礫瀉下山谷，暴露她的地基。
7	她所有的雕像都會被打碎，她所有賣淫的酬金都將被火焚燒，她所有的偶像我都要摧毀；她用賣淫的酬金，積聚那些偶像，那些偶像又再變成賣淫的酬金。
 	對猶大的刑罰
8	我為此痛哭哀號，裸身赤腳行走，像胡狼般哀號，如大貓頭鷹般哀鳴。
9	因為撒瑪利亞的創傷無法醫治，已經蔓延到猶大，來到我子民的城門，來到耶路撒冷。
10	不要在迦特報道，千萬不要哭泣！在塵土之鄉，你在塵土裡打滾吧！
11	美麗鎮的居民啊，裸身羞恥地上路吧！出來鎮的居民不敢出來，旁鄉哀哭，不再支持你們。
12	苦鎮居民切望好事，然而災禍已從耶和華臨到耶路撒冷城門。
13	拉吉的居民啊，套上快馬拉車吧！這是女兒錫安罪惡的源頭；以色列的種種過犯都在你當中找到。
14	因此，你要把送別禮送給迦特的摩利沙；亞革悉的眾家族將使以色列的列王失望。
15	瑪利沙的居民啊，我要再次使佔領者臨到你；以色列的榮耀將逃難到亞杜蘭。
16	為你寵愛的兒女，剃頭削髮吧！要剃得像禿鷹般光禿，因他們都被擄離開你了！
第二章
 	強取豪奪的人有禍了
1	在床上籌劃作惡，圖謀惡事的人有禍了！他們因為手裡有力量，天一亮就付諸行動。
2	他們貪求田地就強取，看中房屋就搶奪，他們霸佔別人的房屋，強奪他人的產業。
3	所以耶和華這樣說：“我很快就要籌劃災禍降給這個家族，你們無法從頸項上挪去；你們不能昂首而行，因為這是災禍的時刻。
4	到那日，會有人唱歌譏諷你們，唱出悲慘的哀歌：‘我們完全被毀了！他換走我人民分內的產業；他竟然拿走我的產業，把我們的田地分給叛徒！’
5	因此，在耶和華的集會裡，你們再也不會有人抽籤分得產業。”
 	先知受到的攻擊和自我辯解
6	有些人這樣宣講說：“你們不要宣講！”他們不會宣講這些事，所以羞辱不會離開他們！
7	“耶和華沒有耐心了嗎？這些都是他的作為嗎？”雅各家啊，應該這樣說嗎？要知道，我的話對行為正直的人有益。
8	近日我的子民崛起成為我的仇敵；穿長袍的人，你們剝去其榮耀；他們是打仗回來、安穩走路的人。
9	你們把我民中的婦女趕離逸樂的家園，又把我的尊榮從她們的嬰孩身上永遠奪去。
10	起來，走吧！這裡不是安息之所；因為污穢帶來毀滅，是無可救藥的毀滅。
11	如果有人四處假裝受靈感動，撒謊說：“我要向你們宣講葡萄酒和其他酒，”他就會成為這人民接納的宣講者了！
12	我一定會聚集雅各——你們所有的人，一定會招聚以色列的餘民，把他們安頓在一起，如波斯拉的羊；他們像羊群在自己的草場中，因為人而喧鬧。
13	開路的人在他們面前走上去，他們開路，穿越城門而出，他們的王在他們前面走，耶和華帶領他們。
第三章
 	先知斥責以色列眾領袖和官長
1	於是我說：“雅各的眾領袖啊，以色列家的官員啊，你們要聽！你們應當知道何謂公平！
2	你們痛恨良善，喜愛邪惡，從我的子民身上剝皮，從他們骨頭上剔肉；
3	你們吃了我子民的肉，剝去他們的皮，打碎他們的骨頭，剁碎像下鍋的肉，像釜中的肉塊。”
4	那時，他們向耶和華呼救，他卻不應允；那時，耶和華會藏起面不讓他們看見，因為他們作惡多端。
 	斥責假先知
5	那些先知使我的子民走迷，他們牙齒之間有東西嚼就宣告‘平安’！誰不把東西送進他們嘴裡，他們就向誰宣戰！耶和華這樣斥責那些先知：
6	“因此，你們只有黑夜，沒有異象，只有黑暗，不能占卜。對於這些先知，太陽沉落，白晝變得漆黑。
7	見異象者將會抱愧，占卜師將會蒙羞，他們全都遮蓋上唇，因為神沒有答覆。”
8	而我，我藉著耶和華的靈，充滿力量、正義、勇氣，可以向雅各講出他的過犯，向以色列陳明他的罪惡。
 	宣告聖城將被毀
9	雅各家的眾領袖啊，以色列家的官員啊，你們要聽這話！你們憎惡公平，歪曲一切正直，
10	用鮮血建立錫安，以奸惡建造耶路撒冷。
11	在這座城裡，眾領袖為收賄賂而審判，祭司為酬勞而教導，先知為銀錢而占卜，竟還自稱倚靠耶和華，說：“耶和華真的在我們中間！災禍不會臨到我們身上！”
12	所以，因你們的緣故，錫安會像田地被耕犁，耶路撒冷要變成廢墟，聖殿山將變為一片山林。
第四章
 	末後，萬國會匯流錫安尋求訓誨
（賽2:1~4）
1	在末後的日子，耶和華殿的山將確立為群山之首，高舉於眾嶺之上；各民族都朝著這山匯流。
2	將有許多國家前來，說：“來吧，我們登耶和華的山，上雅各神的殿；他就會把他的道路指教給我們，讓我們走他的路徑。”因為，訓誨將出於錫安，耶和華的話將出於耶路撒冷。
3	他要在許多民族間施行審判，為遠方的多個強國斷定是非。他們會把刀劍打成犁頭，矛槍打成鐮刀；這國不向那國揮刀，也不再學習戰事。
4	各人都安坐在自己的葡萄樹和無花果樹下，無人驚嚇他們，這是萬軍之耶和華親口說的。
5	萬民各奉自己的神的名而行，我們卻要奉耶和華我們神的名而行，直到永永遠遠。
 	被擄到各處的子民必蒙救贖
6	耶和華宣告：到那日，我將招聚跛者，集合被趕散的人，以及我苦待的人。
7	我要使跛者作餘民，使被趕到遠方的人成為強國；耶和華將在錫安山為王統治他們，從現在直到永永遠遠。
8	而你，望羊臺啊，女兒錫安的土丘啊，從前的王權將歸給你，女兒耶路撒冷的王國要交給你。
9	現在，你為甚麼大聲呼喊？難道你城中沒有君王？難道你的謀士滅亡了，以致你劇痛難當，好像產婦分娩？
10	女兒錫安啊，痛苦地用力吧，呼喊吧，好像產婦分娩！因為現在你要從城裡出來，露宿田野，然後到巴比倫，在那裡你將蒙拯救，在那裡耶和華要救贖你脫離敵人的掌控。
 	錫安的遭難與耶和華計劃中的最後勝利
11	現在，許多國家聚集攻擊你，說：“讓錫安被玷污，我們要親眼看見她遭難！”
12	但他們不知道耶和華的意念，不明白他的計劃：他聚集他們，好像把禾捆聚集到碾禾場。
13	女兒錫安，起來碾禾吧！因為我將使你的角變成鐵角，使你的蹄變成銅蹄，你將粉碎許多民族，把他們的不義之財永獻給耶和華，把他們的財富歸給全地的主。
第五章
1	現在，被軍隊攻擊的女兒啊，你在割傷自己。敵人圍攻我們，用杖擊打以色列執政者的臉頰。
 	彌賽亞將出自猶大的伯利恆
2	而你，伯利恆以法他啊，你在猶大諸城中雖然細小，卻會有一位從你那裡出來，為我作以色列的統治者；他源自太初亙古。
3	因此，耶和華要把他們交出去，直到那產婦生下孩子；那時他其餘的兄弟就會回到以色列人那裡。
 	君王和餘民的地位及未來
4	他將會立定，倚靠耶和華的能力，倚靠耶和華他神之名的威嚴牧養羊群；他們要安居，因為那時他的名將會尊大，直到地極。
5	這一位將帶來和平。當亞述入侵我們國土、踐踏我們眾城堡之時，我們要興起七位牧人、八位領袖對付它。
6	他們將用刀劍治理亞述地，在寧錄地的各關口治理那地。當亞述入侵我們國土、踐踏我們領土時，他要拯救我們脫離亞述。
7	那時，雅各的餘民在許多民族中，會像來自耶和華的露水，又如草上的甘霖，他們不寄望於人，也不期待世人幫助。
8	那時，在列國許多民族當中，雅各的餘民將像獅子在林間百獸當中，像幼獅在羊群當中；他如果經過，就踐踏、撕碎獵物，沒有人可以搭救。
9	願你的手舉起在你的眾敵人之上，願你所有的仇敵都被剪除！
 	神將剪除敵人，除滅子民的偶像崇拜
10	耶和華宣告：“到那日，我將從你當中剪除馬匹，毀滅戰車，
11	剪除你國中的城鎮，傾覆你所有的堅城；
12	剪除你手中的巫術，你那裡再也不會有算卦師；
13	我要剪除你當中的雕像和神碑，你就再也不會跪拜你手所造的東西；
14	我要拔除你當中的亞舍拉柱，毀滅你的城鎮；
15	我要懷著熊熊怒火，向那些不聽從的國家施行報復。”
第六章
 	斥責以色列人忘恩犯罪
1	你們要聽！耶和華正在說話：“你要起來，在群山前提出指控，讓眾嶺聽見你的聲音！
2	群山和大地永久的根基啊，你們要聽耶和華的指控！耶和華指控他的子民，控告以色列：
3	我的子民啊，我對你做了甚麼？我在甚麼事上使你厭倦？回答我吧！
4	我曾經把你從埃及地領上來，把你從為奴之家贖出來，差遣摩西、亞倫、米莉安在你前面走。
5	我的子民啊，你們要記起摩押王巴勒謀劃過甚麼，比珥的兒子巴蘭回答他甚麼，以及從金合歡鎮到吉甲發生了甚麼事，好讓你們知道耶和華公義的作為！”
 	神告訴子民他要求的是甚麼
6	“我朝見耶和華，在至高的神面前下拜，當獻上甚麼呢？我朝見他時應當獻燔祭，獻一歲的少壯公牛嗎？
7	耶和華難道喜歡數以千計的公羊、或是數以萬道的橄欖油河嗎？為我的過犯，我當獻上長子嗎？為我的罪惡，我當獻上親生骨肉嗎？”
8	世人啊，耶和華已經告訴你甚麼是善，以及他向你要求甚麼：無非是要你行公義，喜歡忠誠之愛，謙卑地與你的神同行。
 	詭詐的行為必受懲罰
9	耶和華的聲音向這城呼喚——敬畏你的名就是明智：支派的人啊，你們要聽！誰指派了這座城？
10	惡人家中是否仍有不義之財，仍有該受詛咒、小於規格的升斗？
11	人若用不公道的天平和一袋詐騙人的砝碼，我怎能算他為清白？
12	城裡的富戶充滿暴力，居民說話虛假，口舌詭詐。
13	因此我把你打成重傷，因為你的罪惡，我要使你荒涼。
14	你將會吃也吃不飽，因為腹中有病。就算你撤走家人，也救不了他們；你救了的人，我要交給刀劍。
15	你將會撒種卻沒有收割，踩橄欖卻得不到油抹身，榨葡萄卻喝不到酒。
16	你遵守安利的規定和亞哈家所有的作為，跟從他們的計謀；因此，我將使你的下場令人驚恐，使你的居民被嗤笑，你們會擔當我子民的羞辱。
第七章
 	先知哀歎義人絕跡
1	我真可憐！我好像在樹下尋找夏收的無花果，尋找摘剩的葡萄，卻沒有一串可以吃，也沒有我心底渴望吃的首批無花果。
2	地上忠誠的人都已絕跡，人間沒有正直的人，人人都埋伏著，要殺人流血，一個個都用羅網捕獵兄弟。
3	雙手都善於作惡，領袖和審判官索求賄賂，達官貴人說出心底的渴望，他們這樣互相勾結。
4	他們當中最好的人，也不過像荊棘，最正直的人，也不過是有刺的籬笆。你期待的日子，神察看審判你的日子，已經來到；現在他們會混亂不安。
5	不要信任友伴，不要信賴良朋，對躺在你懷中的女人也要守住嘴唇，
6	因為兒子藐視父親，女兒與母親作對，媳婦與婆婆作對；人的仇敵就是自己的家人。
7	而我，我仰望的是耶和華，我要等候那位拯救我的神；我的神會垂聽我的祈禱。
8	我的仇敵啊，你不要對我幸災樂禍！我雖然跌倒，卻會起來，雖然坐在黑暗裡，耶和華卻是我的光。
 	神將引領子民進入光明
9	耶和華的憤怒，我要承受，因為我犯罪干犯了他，直到他為我申訴冤情，為我主持公道；他要把我領出來，進入光明，我將看見他的義。
