哥林多前書
第一章
 	問候
1	我是保羅，奉神旨意蒙召成為基督耶穌的使徒，如今與索提尼弟兄
2	寫信給在哥林多神的教會，就是在基督耶穌裡已經分別為聖的人；你們與所有在各地呼求我們主耶穌基督之名的人一起蒙召成為聖徒。基督是他們的主，也是我們的主。
3	願恩典、平安從我們的父神和主耶穌基督臨到你們！
 	為信徒感謝神
4	因為神在基督耶穌裡賜給你們的恩典，我常常為你們感謝我的神：
5	他使你們在基督裡面凡事富足——在一切言辭、一切知識上都富足，
6	基督的見證就這樣在你們當中得以堅固。
7	因此，在熱切等候我們主耶穌基督顯現時，你們在恩賜上一無所缺。
8	他也會使你們堅固，直到最後，在我們主耶穌基督的日子無可指摘。
9	神是信實的，你們蒙他呼召，可以和他的兒子——我們的主耶穌基督親密相處。
 	基督被瓜分了嗎？
10	弟兄們，我憑著我們主耶穌基督的名，勸勉你們所有人同心一致，在你們中間不要有分裂，而要在同一的心思、同一的意念上團結起來。
11	我的弟兄們，克蘿伊家裡的人向我提到你們，說你們中間有紛爭。
12	我的意思就是，你們各自說，“我屬保羅”，“我屬亞波羅”，“我屬磯法”，“我屬基督”。
13	基督被瓜分了嗎？難道是保羅為你們被釘上十字架嗎？或者你們受洗是歸入保羅名下嗎？
14	我感謝神，除了基利司布和該猶以外，我沒有給你們任何人施過洗，
15	所以你們沒有人可以說受洗歸入我名下——
16	我倒也給司提反納一家施過洗；除此以外，有沒有給別人施過洗，我就不記得了。
17	因為基督差遣我，不是去施洗，而是去傳福音——不是靠言辭的智慧去傳，免得基督的十字架失去功效。
 	基督是神的能力和智慧
18	要知道，十字架的信息，對那些走向滅亡的人來說是愚蠢的，但是對我們這些正蒙拯救的人來說，卻是神的大能。
19	事實上，經上記著：“我要消滅智者的智慧，廢棄聰明人的聰明。”
20	智者在哪裡？經學家在哪裡？這現世時代的雄辯家在哪裡？神不是使世上的智慧變成了愚蠢嗎？
21	要知道，在神的智慧裡，既然世人憑恃智慧而不認識神，神就樂意用我們宣講的愚蠢信息去拯救那些相信的人。
22	猶太人要求神蹟，希臘人尋求智慧，
23	我們卻宣講被釘上十字架的基督；這對猶太人是可厭的，對外族人是愚蠢的，
24	但對那些蒙召的人，不論是猶太人還是希臘人，基督卻是神的大能，神的智慧。
25	因為神的愚蠢比人更有智慧，神的軟弱比人更有力量。
26	弟兄們，想想你們蒙召的情況，按人來看，你們有智慧的不多，有權勢的不多，出身尊貴的也不多。
27	然而，神揀選了世上愚蠢的，使那些有智慧的人羞愧；他也揀選了世上軟弱的，使那些有力量的羞愧。
28	他還揀選了世上那些出身寒微和被輕看的人，就是那些沒有地位的，為要廢除那些有地位的，
29	好使一切血肉凡人在神面前都不能自誇。
30	因為神，你們得以在基督耶穌裡；神使基督成為我們的智慧，就是公義、聖潔、救贖，
31	正如經上所記：“誇耀的人應該誇耀主。”
第二章
 	只傳耶穌基督釘上十字架
1	弟兄們，我從前到你們那裡去，並沒有用高超的言辭或智慧向你們傳講神的奧祕。
2	因為我已經決定在你們當中甚麼都不關注，只關注耶穌基督和他被釘上十字架的事。
3	我在你們那裡的時候，又軟弱又懼怕，而且戰戰兢兢；
4	我說的話、宣講的道，都不是用智慧的言辭去說服人，而是以聖靈和大能去證明，
5	使你們的信不是憑著人的智慧，而是憑著神的大能。
 	屬靈的人審斷萬事
6	然而在成熟的人當中，我們也講智慧，但不是這現世時代的智慧，也不是這現世時代那些將要滅亡的執政者的智慧。
7	我們所講的，是神向來隱藏在奧祕中的智慧，就是神在萬世以前，為了讓我們得榮耀所預定的智慧；
8	這現世時代的執政者沒有一個知道這智慧，因為他們如果知道，就不會把榮耀的主釘在十字架上了。
9	正如經上所記：“神為愛他的人所預備的事，眼睛未曾見過，耳朵未曾聽過，人心也未曾想過。”
10	但是神卻藉著聖靈把這些向我們啟示了，因為聖靈測透萬事，連神深奧的事也測透了。
11	除了在人裡面的靈，誰能知道人的事呢？同樣，除了神的靈，也沒有人知道神的事。
12	我們所領受的，不是這世界的靈，而是從神而來的靈，好讓我們知道神開恩賜給我們的事。
13	我們也講這些事，不是用人的智慧所教的言辭，而是用聖靈所教的言辭，向屬靈的人解釋屬靈的事。
14	然而屬自然性命的人不接受神的靈的事，因為在他看來是愚蠢的；而且他也不能夠明白，因為這些事要靠聖靈才能審斷。
15	屬靈的人能審斷萬事，卻沒有人能審斷他。
16	“誰曾知道主的心意，好指教他呢？”但我們已經有基督的心意了。
第三章
 	不可分派結黨
1	弟兄們，我從前對你們說話，不能把你們看作屬靈的人，只能把你們看作屬肉體的人，看作在基督裡的小孩子。
2	我給你們喝奶，不是要咀嚼的食物，因為那時你們不能吃——就是現在還是不能，
3	因為你們仍然是屬肉體的。你們當中既然有嫉妒紛爭，你們不就是屬肉體、按照世人的方式而行嗎？
4	有人說“我屬保羅”，另有人說“我屬亞波羅”，你們不是和世人一樣嗎？
5	其實，亞波羅算甚麼？保羅又算甚麼？不過是引導你們信了主的僕人，各按主所賜的去侍奉。
6	我栽種了，亞波羅澆灌了，但使你們生長的是神。
7	所以，栽種者算不得甚麼，澆灌者也算不得甚麼，重要的是那使你們生長的神。
8	栽種者和澆灌者都一樣，每個人都將按自己的勞苦得到自己的報償。
9	因為，我們是神的同工，你們是神的田地，神的建築。
10	我照著神賜給我的恩典，就像一個聰明能幹的總建築師那樣立好了根基，別人在上面建造。各人要注意怎樣在上面建造，
11	因為除了那已經立好的根基以外，沒有人能立別的根基。那根基就是耶穌基督。
12	如果有人用金、銀、寶石、木、草、禾稈，在這根基上建造，
