約拿書
第一章
 	約拿躲避耶和華的呼召
1	耶和華的話臨到亞米太的兒子約拿，說：
2	“立刻動身去尼尼微大城！你要警告那城的居民，因為他們的惡行已上達我面前！”
3	約拿卻動身逃往塔施躲避耶和華。他下到約帕，找到一艘開往塔施的船；他付了船費，登上船，要與船上的人同往塔施去，試圖躲避耶和華。
4	但是耶和華使海上颳起大風，海就狂風大作，船幾乎要破裂。
5	水手就懼怕，各人向自己的神明大聲呼求；他們把船上的貨物拋入海裡，以減輕載重。這時約拿已下到船艙，躺臥熟睡。
6	船長來到他面前，對他說：“你怎能睡得這麼熟？起來，呼求你的神明吧！也許那神明會顧念我們，使我們不致喪命！”
7	眾人彼此說：“來，讓我們抽籤，好知道是誰給我們招來這場災禍。”他們就抽籤，結果抽中約拿。
8	他們就對他說：“告訴我們吧，你這給我們招來這場災禍的人，你是做甚麼工作的？你從哪裡來？你是哪個國家的人？屬於哪個民族？”
9	他對他們說：“我是希伯來人。我敬畏耶和華——他是天上的神，創造了海和乾地。”
10	眾人就非常害怕，對他說：“你怎麼會做出這樣的事？”原來那些人已經知道他在躲避耶和華，因為他告訴過他們。
11	因為海浪越來越洶湧，他們就對他說：“我們該怎樣處置你，才能使海平靜下來呢？”
12	他對他們說：“你們把我抬起來，拋入海裡，海就會平靜下來；因為我知道是我給你們招來這場大風暴。”
13	那些人反而拼命划槳，要使船靠回乾地，卻徒勞無功，因為海浪越來越洶湧地撲向他們。
14	他們就呼求耶和華，說：“耶和華啊，既然你是照自己所喜悅的行事，所以耶和華啊，求求你不要因這人使我們喪命！不要讓我們承擔殺害無辜人的血債！”
15	他們抬起約拿，拋入海裡，洶湧的海浪就平息了。
16	於是，那些人非常敬畏耶和華，向他獻祭，並且許願。
17	耶和華安排一條大魚吞下約拿。約拿在魚腹中三天三夜。
第二章
 	約拿深陷魚腹呼求禱告
1	約拿從魚腹中向耶和華他的神禱告，
2	他說：“我從患難中呼求耶和華，他就應允我；我從陰間的深處求救，你就垂聽我的聲音。
3	你把我投入深海，到海洋的深處，洪流圍困我；你的洪濤巨浪淹沒我。
4	我想：‘雖然我被趕逐離開你的眼前，我仍要仰望你的聖殿。’
5	海水包圍我，使我幾乎窒息；深淵環繞我，海草纏裹我的頭。
6	我下到群山的根基，地的門閂把我永遠關在裡面。耶和華我的神啊，你卻把我的性命從坑裡拉上來！
7	我奄奄一息，就想念耶和華；我的禱告進入你的聖殿，直達你面前。
8	那些敬奉虛無神明的人離棄忠誠之愛；
9	而我，卻要以感謝之聲向你獻祭；我許的願，我必償還。救恩來自耶和華！”
10	耶和華吩咐那魚，魚就把約拿吐到乾地上。
第三章
 	約拿履行耶和華的呼召
1	耶和華的話第二次臨到約拿，說：
2	“立刻動身去尼尼微大城！向那城的居民宣告我吩咐你的話。”
3	約拿就動身，照耶和華的話往尼尼微去。這尼尼微是一座極大的城，要三天才能走遍全城。
4	約拿開始進入城內，走了一天的路程，就宣告說：“再過四十天，尼尼微就要覆滅了！”
5	尼尼微人相信神，就宣告禁食，他們從最大的到最小的都披上粗毛布。
6	這事傳到尼尼微王那裡，他就從寶座起來，脫去王袍，披上粗毛布，坐在塵土上。
7	他又傳諭尼尼微全城，說：“王與大臣有令：人、畜、牛、羊，都不准嘗甚麼，不准吃，也不准喝水。
8	人畜都當披上粗毛布；人要懇切呼求神。各人要轉離惡道，住手不再做殘暴的事。
9	說不定神回心轉意，不發烈怒，我們就不致滅亡。”
10	神看見他們所做的事，見他們轉離惡道，就回心轉意，沒有把所說的災禍降予他們。
第四章
 	約拿再思耶和華的忠誠之愛
1	約拿非常不高興，發起怒來。
2	他向耶和華禱告，說：“耶和華啊，我在本國的時候早就料到事情會是這樣！所以我當初逃往塔施去。因為我知道你是有恩典、有憐憫的神，不輕易發怒，有豐盛的忠誠之愛，並且轉意不降所說的災禍。
3	所以，耶和華啊，求你取去我的性命，因為我死掉比活著還好！”
4	耶和華說：“你發怒有道理嗎？”
5	那時約拿出了城，坐在城的東邊。他在那裡為自己搭起一座棚，坐在棚子的蔭下，要看那城將發生甚麼事。
6	耶和華神安排了一棵樹，樹長得高過約拿，樹蔭遮住他的頭，讓他免於受苦。約拿因這棵樹就非常高興。
7	第二天黎明，神卻安排一條蟲咬這棵樹，樹就枯萎了。
8	太陽升起的時候，神又安排炎熱的東風；太陽曝曬約拿的頭，使他發昏；他就為自己求死，說：“我死掉比活著還好！”
9	神對約拿說：“你因這棵樹發怒，有道理嗎？”約拿說：“我發怒至死也有道理！”
10	耶和華說：“這棵樹你未曾出力栽種，也未曾使它成長；它一夜生出，一夜死去，你尚且愛惜，
11	更何況尼尼微這座大城，其中不能分辨左右手的超過十二萬人，還有許多牲畜，我怎能不愛惜呢？”
