希伯來書
第一章
 	神藉著兒子說話
1	神在古時候藉著眾先知向我們的列祖說話，分很多部分，用很多方式；
2	在這末後的日子，神藉著兒子向我們說話。神指定他承受萬有，並且藉著他創造了宇宙。
3	他是神榮耀的光輝，是神本質的真像，用自己大能的話語掌管萬有；他完成了潔淨罪惡的事，就坐在高天至尊者的右邊。
4	他承受的名怎樣比天使的名更尊貴，他就怎樣比天使更崇高。
 	神的兒子比天使崇高
5	事實上，在眾天使中，神曾經對哪一個說“你是我的兒子，我今天生了你”呢？或者說“我會做他的父親，他會做我的兒子”呢？
6	神引領長子進入那世界的時候，又說：“神所有的天使都要敬拜他。”
7	論到天使，他說：“神以他的眾天使為靈風，以他的眾聖僕為火焰。”
8	但是論到他的兒子，他卻說：“神啊，你的寶座直到永永遠遠，你王國的權杖，是正義的權杖！
9	你喜愛公義，恨惡不法的事，所以，神，就是你的神，用喜樂的油膏抹你，勝過膏抹你的同伴。”
10	又說：“主啊，你起初奠立地的根基，天也是你手的工作。
11	天地都會消滅，你卻長存；天地都要像衣服漸漸破舊，
12	你將把天地像外袍一樣捲起來，天地就像衣服一樣被更換；你卻始終如一，你的年數沒有窮盡。”
13	神可曾向哪一個天使說“你坐在我的右邊，等我使你的仇敵做你的腳凳”呢？
14	天使豈不都是作聖僕的靈，奉差遣為那些將會承受救恩的人效勞嗎？
第二章
 	忽略偉大的救恩不能逃脫報應
1	因此，我們必須更加留意所聽過的道理，免得我們隨流漂走。
2	既然那藉著天使傳講的話是有效的，而一切違命和叛逆的事都得了報應，
3	那麼我們如果忽略了這麼偉大的救恩，又怎能逃脫報應呢？這救恩起初是由主親自宣講的，後來聽見的人向我們證實了。
4	神又照著自己的旨意，用神蹟、奇能和各樣異能，以及聖靈的恩賜，與他們一同作見證。
 	耶穌因受死得了榮耀尊貴
5	事實上，我們所說的那“將要來的世界”，神並沒有使它服從天使；
6	反而有人在經上某處鄭重地作見證說：“人算甚麼，你竟記得他？世人算甚麼，你竟眷顧他？
7	你使他暫時比天使低微，賜給他榮耀尊貴做冠冕，
8	使萬物都服從在他的腳下。”神既然使萬物都服從了他，就沒有留下一樣不服從他的了。不過，我們現在還沒有看見萬物都服從他，
9	卻看見耶穌，他變得暫時比天使低微，因為受了死的痛苦而得到榮耀尊貴做冠冕，好叫他藉著神的恩典而為所有人經歷了死亡。
 	救恩的先驅耶穌
10	萬物因他而有，藉他而造，他既然要帶領許多兒子進入榮耀，就藉著苦難使他們救恩的先驅得以完美，這是合適的。
11	因為那位使人成聖的，和那些得以成聖的，同是出於一個源頭；所以，他稱他們為弟兄，也不以為恥。
12	他說：“我要向我的弟兄們宣揚你的名，我要在會眾中歌頌你。”
13	又說：“我要信靠他。”又說：“我和神所賜給我的孩子們在這裡！”
14	因此，既然孩子們同有血肉之體，他自己也就照樣成為血肉之體，為要藉著死來消滅那掌握死權的，就是魔鬼，
15	並且要釋放那些因為怕死而終身做奴僕的人。
16	顯然，他不是要幫助天使，而是要幫助亞伯拉罕的後裔。
17	所以，他必須在各方面與他的弟兄們相同，為要在神的事上成為有憐憫、忠信的大祭司，好為人民贖罪。
18	這是因為他自己既然經過試探，受了苦，就能夠幫助那些正在受試探的人。
第三章
 	耶穌比摩西更尊貴
1	因此，同蒙天召的聖潔弟兄啊，你們應該思想我們宣認為使徒和大祭司的耶穌，
2	他忠於委派他的那一位，好像摩西在神的全家盡忠一樣。
3	他比摩西配得更大的榮耀，好像建造家宅的那一位比家宅更有尊榮。
4	因為每所家宅都有建造者，而建造萬物的就是神。
5	摩西不過是在神的全家忠心做僕人，為以後要傳講的事作證；
6	基督卻是兒子，忠心治理神的家。如果我們持守坦然無懼的心和可誇的盼望，我們就是神的家了。
 	以色列人因不信不可以進入安息
7	所以，就像聖靈所說的：“你們今天如果聽見他的話，
8	就不可硬著心，像在那叛逆的時候，在荒野試探他那天一樣；
9	在那裡，你們的祖先試探我，試驗我，儘管他們看到了我的作為。
10	四十年之久，為此我厭惡那一代的人，說：‘他們心裡常常迷誤，不認識我的道路。’
11	因此，我在憤怒中起誓說：‘他們絕不可進入我的安息！’”
12	弟兄們，你們要小心，免得你們當中有人存著邪惡、不信的心，以致離棄了永活的神；
13	相反，你們要趁著還有叫做“今天”的時候，天天互相勸勉，免得你們當中有人被罪惡誘惑，心裡就剛硬了。
14	因為，我們如果把起初的信念堅定地持守到底，就成為基督的夥伴了。
15	經上說：“今天，你們如果聽見他的話，就不可硬著心，像在那叛逆的時候一樣。”
16	那麼，是誰聽見了卻還叛逆？不就是摩西從埃及領出來的所有人嗎？
17	四十年之久，是誰令神厭惡？不就是那些犯了罪的人嗎？他們陳屍荒野！
18	是誰惹神起誓不許他們進入他的安息？不就是那些不順從的人嗎？
19	由此可見，他們不能進入安息，是因為不信的緣故。
第四章
 	信的人可以進入安息
1	所以，既然進入神安息的應許還存留著，我們就該心存敬畏，免得你們當中有人似乎到達不了。
2	事實上，福音已經傳給我們，像傳給那些人一樣，但是他們沒有用信心與那些聽從的人聯合起來，所聽見的道對他們就沒有益處，
3	要知道，我們這些信了的人才可以進入那安息。正如神所說：“因此，我在憤怒中起誓說，他們絕不可進入我的安息！”然而，神的工作自創世以來就已經完成了，
4	因為論到第七天，他在經上某處說“第七天，神歇了他的一切工作”，
5	而在這裡又說“他們絕不可進入我的安息”。
6	因此，既然這安息還留給一些人進去，那些以前聽過福音的人又因為不順從而不得進去，
7	神就再定一個日子，就是過了很久以後藉著大衛所說的“今天”，像先前說過的：“今天，你們如果聽見他的話，就不可硬著心。”
8	要知道，如果約書亞真的使他們得享安息，神後來就不會再提到另一個日子了。
9	這樣看來，仍會有一個“安息日”的安息留給神的子民。
10	這是因為，那進入神安息的人，就歇了自己的工作，好像神歇了自己的工作那樣。
11	所以，我們要竭力進入那安息，免得有人同樣因為不順從而跌倒。
12	要知道，神的道是活的，是有功效的，比任何兩刃的劍更鋒利，甚至可以刺入剖開魂和靈、關節和骨髓，並且能夠辨明心裡的思想和意念。
13	受造之物在神面前沒有一樣不是顯明的，萬物在他的眼前都赤露敞開；我們都必須向他交賬。
 	我們的大祭司耶穌
14	神的兒子耶穌是穿越了天空的大祭司，我們既然有這一位偉大的大祭司，就應該堅持所宣認的信仰，
15	因為我們的大祭司並非不能同情我們的種種軟弱，他也在各方面都受過試探，像我們一樣，只是他沒有犯罪。
16	所以，我們要坦然無懼地來到施恩的寶座前，好領受憐憫，得到恩典，作為適時的幫助。
第五章
1	每一個大祭司都是從人間選出來，受委託替人辦理與神有關的事，要為罪獻上禮物和祭物。
2	他能夠溫和地對待那些無知和迷誤的人，因為他自己也被軟弱所困。
3	因此，他要為自己獻祭贖罪，就像他要為人民獻祭贖罪。
4	沒有人可以為自己取得這大祭司的尊榮，除非蒙神選召，像亞倫那樣。
5	照樣，基督也沒有自取榮耀做大祭司；相反，神對他說：“你是我的兒子，我今天生了你。”
6	就像他在另一處說：“你照著麥基洗德的模式，永遠做祭司。”
7	基督在他肉身的日子裡，曾經流淚大聲呼喊，向能夠拯救他脫離死亡的那一位祈禱、懇求，就因為他的敬虔而蒙垂聽。
8	他雖然是兒子，還是因為所受的苦難學會了順服。
9	他既然得以完美，就成為所有順服他的人得永遠救恩的根源，
10	而且蒙神稱他為“照著麥基洗德的模式”的大祭司。
 	勸勉信徒要長大成人
11	關於這事，我們有很多話要說，可是很難解釋，因為你們的聽覺已經變得遲鈍。
12	其實到了這個時候，你們應該已經作老師了，卻還需要有人再把神聖言初步的基本原則教導你們，你們變得需要吃奶，不能吃固體食物！
13	所有還在吃奶的人都對公義的道理沒有經歷，因為他是個小孩子；
14	只有長大了的人才能吃固體食物，他們的感官經過操練，就能分辨善惡了。
第六章
