出埃及記
第一章
 	以色列人在埃及興盛
1	以色列眾子各帶家眷，與雅各一起來到埃及。他們的名字如下：
2	呂便、西緬、利未、猶大、
3	以薩迦、西布倫、便雅憫、
4	但、拿弗他利、迦得、亞設。
5	雅各的所有血脈子孫，共有七十人。那時約瑟已經在埃及。
6	後來，約瑟和他所有兄弟，以及那一代所有的人都死了。
7	以色列人繁衍、滋生、增多，極其強大，遍滿那地。
 	埃及新王迫害以色列人
8	後來，一個新王登基統治埃及，這王不知道約瑟的事。
9	他對自己的人民說：“看哪，以色列民比我們更多、更強大。
10	來吧，我們要精明地對付他們，免得他們增多，一旦發生戰爭，他們就會加入我們的敵人那邊，攻擊我們，然後上去離開這地。”
11	於是埃及人指派奴役長監管他們，苦待他們，要他們服苦役，為法老建造兩座儲貨城，就是比東和蘭塞。
12	然而，埃及人越是苦待他們，他們越是增多，越是散布。埃及人就因以色列人而恐慌。
13	於是，埃及人苛刻地奴役以色列人，
14	要他們做艱辛的工作，包括和泥、做磚，和田裡種種工作；埃及人苛刻地奴役他們做這一切工作，使他們活得很辛苦。
 	埃及王殺害希伯來男嬰
15	埃及王吩咐希伯來接生婦，一個名叫施菲拉，另一個名叫璞雅，
16	說：“你們為希伯來婦女接生的時候，要看著她們臨盆；如果是男孩，就殺掉他；如果是女孩，她就可以存活。”
17	但是接生婦敬畏神，沒有照埃及王吩咐她們的去做；她們讓男孩也存活。
18	於是，埃及王把接生婦叫來，對她們說：“你們為甚麼做這樣的事，讓男孩也存活？”
19	接生婦對法老說：“因為希伯來婦女和埃及婦女不同，她們很強健，接生婦還沒有到，她們就已經生產了！”
20	神就厚待接生婦，以色列民也就增多，非常強大。
21	因為接生婦敬畏神，神就為她們建立家庭。
22	後來，法老向他所有人民下令，說：“凡是剛生出來的希伯來男孩，你們都要丟進尼羅河；凡是女孩，則可以讓她存活。”
第二章
 	摩西誕生
1	有一個利未家的男子去娶了利未的女兒。
2	這女子懷孕，生了一個兒子。她看見兒子很俊美，把他藏了三個月。
3	後來不能再藏了，就為他找來一個莎草箱，抹上瀝青和石漆，把孩子放進去，然後把箱子放在尼羅河邊的香蒲叢裡。
4	他的姐姐遠遠站著，想知道他會有甚麼遭遇。
5	法老的女兒下來，要在尼羅河沐浴，她的使女們在河邊巡行。她看見香蒲叢裡的箱子，就打發自己的女奴去取過來。
6	她一打開，就看見那個孩子——一個男孩在哭！她就憐憫他，說：“這個是希伯來人的孩子。”
7	這時，孩子的姐姐對法老的女兒說：“要不要我去幫你叫一個希伯來乳母來替你奶這個孩子？”
8	法老的女兒對她說：“去吧。”那個少女就去把孩子的母親叫來。
9	法老的女兒對她說：“你把這個孩子帶去，替我給他餵奶吧，我會給你工錢。”那個婦人就把孩子抱走，給他餵奶。
10	孩子長大了些，那個婦人把他帶到法老的女兒那裡，他就成了法老女兒的兒子。她給他起名叫摩西，意思是：“我把他從水裡撿起。”
 	摩西逃往米甸
11	過了好些日子，摩西長大了，就出去，到他的同胞那裡，看見他們的苦役。他見一個埃及人正在打一個希伯來同胞。
12	摩西左右看看，見沒有人，就打死那個埃及人，把他埋藏在沙土裡。
13	第二天他又出去，看見兩個希伯來人在打架！他就對那個欺負人的說：“你為甚麼打你的同伴呢？”
14	那人說：“誰委任你做我們的首領和審判官呢？難道你想殺我，像殺那個埃及人一樣嗎？”摩西就害怕，心想：“那事一定是被人知道了。”
15	法老聽說這事，就尋索摩西，要殺掉他。摩西就逃跑，躲避法老，在米甸地落腳，坐在一口井旁。
16	米甸的祭司有七個女兒，她們來打水，灌滿水槽，給她們父親的羊群喝。
17	有些牧人來了，把她們趕開。摩西就起來拯救她們，並且給她們的羊群喝水。
18	她們回到父親流珥那裡，他說：“今天你們怎麼這麼快就回來了？”
19	她們說：“有一個埃及人救我們脫離那些牧人的手，甚至還為我們打水給羊群喝！”
20	他對女兒們說：“那麼他在哪裡？你們怎麼了，竟然丟下那人？叫他來吃點東西吧！”
21	摩西同意與那人一起住。那人把女兒西坡拉給摩西為妻。
22	西坡拉生了一個兒子，摩西給他起名叫革舜，意思是：“我在異地成為寄居者。”
23	過了許多日子，那個埃及王死了。以色列人因為奴役而呻吟、呼救；他們因為奴役而發的呼求上達於神。
24	神聽見他們的哀聲；神顧念他與亞伯拉罕、以撒、雅各所立的約；
25	神看見以色列人的痛苦；神知道！
第三章
 	神向摩西顯現
1	那時，摩西牧放他岳父米甸祭司葉特羅的羊群。有一天，他領羊群往荒野的另一邊去，來到神的山，就是何烈。
2	耶和華的使者，以荊棘裡火焰的形式向他顯現。摩西觀看，看見這棵荊棘在火裡燃燒著，這棵荊棘卻沒有被燒毀。
3	摩西說：“我要過去看看這個大異象，那棵荊棘為甚麼燒不掉？”
4	耶和華見他過去觀看，神就在那棵荊棘裡呼喚他，說：“摩西，摩西！”他說：“我在這裡聽候！”
5	神說：“不要靠近這裡，脫掉你腳上的鞋，因為你站的地方是聖地。”
6	他接著說：“我是你父親的神，是亞伯拉罕的神，以撒的神，雅各的神。”摩西就掩住自己的面，因為害怕看見神。
 	摩西的使命
7	耶和華說：“我的子民在埃及受的痛苦，我確實看見了；他們因監工壓迫而發出的喊聲，我也聽見了。我知道他們的苦痛，
8	所以我就下來搭救他們脫離埃及人的手，領他們上去離開這地，到一片美好寬闊的土地、流奶流蜜之地去，就是到迦南人、赫特人、亞摩利人、比利洗人、希未人、耶布斯人的地方去。
9	現在以色列人的喊聲的確已經達到我這裡，我也看見了埃及人對他們的壓迫。
10	現在，你來！我要差遣你到法老那裡，把我的子民以色列人從埃及領出來。”
