第一章
 	何西阿受命娶妻生子
1	烏西雅、約坦、亞哈斯、希西家這幾位猶大王在位期間，也是約阿施的兒子以色列王耶羅波安在位期間，耶和華的話臨到備利的兒子何西阿。
2	耶和華開始藉著何西阿說話。耶和華對何西阿說：“你去娶一個淫蕩的女人，接收她淫亂所生的兒女，因為這地盛行淫亂，背離了耶和華。”
3	於是他去娶了狄拉因的女兒歌媚兒。隨後，她懷孕，給何西阿生了一個兒子。
4	耶和華對何西阿說：“你要給他取名叫耶斯列。因為再過不久，我將追討耶戶王朝在耶斯列的血債，我要結束以色列家的王國。
5	到那日，我要在耶斯列平原折斷以色列的弓。”
6	歌媚兒又懷孕，生了一個女兒。耶和華對何西阿說：“要給她起名叫不蒙憐憫，因為我不再憐憫以色列家，決不赦免他們。
7	但我要憐憫猶大家，我要藉著耶和華他們的神來拯救他們；而不是靠弓、靠刀、靠戰爭、靠馬匹、靠騎兵來拯救他們。”
8	不蒙憐憫斷奶後，歌媚兒又懷孕生子。
9	耶和華說：“要給他起名叫非我子民，因為你們不是我的子民，我也不是你們的神。
10	“然而，以色列人的數目會像海沙一樣，量不盡、數不完。從前在甚麼地方對他們說‘你們不是我的子民’，將來就在那裡稱他們為‘永活神的兒子’。
11	猶大人與以色列人要聚集在一起，他們將為自己設立一位首領，並且要從那地上去，因為耶斯列的日子必為大日。”
第二章
1	“你們要對你們的兄弟說：‘我的子民’；要對你們的姐妹說：‘蒙憐憫’。”
 	法庭對歌媚兒的控訴
2	“你們要指控你們的母親，要指控她！因為她不是我的妻子，而我也不是她的丈夫。她該卸下臉上的淫妝，除掉雙乳間通姦的淫態！
3	免得我剝光她，使她裸露，像剛生下來的那天一樣；我要使她像荒野一般，如沙漠之地，我要叫她乾渴而死。
4	她的兒女，我不會憐憫，因為他們是淫亂生的兒女。
5	因為他們的母親行淫，懷他們的人行事可恥。她竟然說：‘我要追隨我那些情人，我的餅、我的水、我的羊毛、我的麻布、我的油、我的酒都是他們所給的。’
6	“因此，我要用荊棘作籬笆堵住她的路，我要築牆圍堵她，使她找不到出路。
7	她要追趕她那些情人，但追不上；她要尋找他們，卻找不到。於是她說：‘我要離去，我要回到我的前夫那裡，因為我那時比現在還好。’
8	但她不知道，是我給她穀物、新酒和新油，又給她許多金銀，他們竟用來獻給巴力！
9	因此，在收割時期，我要收回我的穀物；出酒的時候，我要取回我的新酒；她用來遮蔽裸體的羊毛和麻布，我要全都拿走。
10	現在，我要在她那些情人眼前揭露她的羞處，誰也不能解救她脫離我的手！
11	我要終止她所有的歡樂、節慶、新月節、安息日，以及她所有指定的聖會。
12	我要毀壞她的葡萄樹與無花果樹，她曾指著它們說：‘這些是我那些情人給我的酬金。’我要使它們成為荒林，任憑野地的走獸吃掉。
13	我要懲罰她，因為她向眾巴力燒獻祭物的那些日子，她佩戴耳環首飾，跟隨她那些情人，她卻把我給忘了。”耶和華這樣宣告。
 	復蒙神的眷愛
14	“為了這緣故，我要誘導她，領她到荒野，對她說體貼的話。
15	在那裡，我要把葡萄園賜給她，使惹禍谷成為希望之門。在那裡，她會回應我，像她還是少女時那樣，像她從埃及地出來時一般。”
16	耶和華宣告：“到那日，你要稱呼我伊施，不再稱呼我巴力。
17	我要從她的口中除掉眾巴力的名號，使他們的名號不再被人提起。
18	“到那日，為了他們，我要與野地的走獸、天空的飛鳥及地上爬行的動物立約。我也要從這地廢除弓、刀劍與戰爭，使他們安居。
19	“我要聘你永遠歸我為妻，以公義、公平、忠誠之愛和憐憫聘你歸我。
20	我也要以信實聘你歸我，你就會認識我耶和華。”
21	耶和華宣告：“到那日，我要應允，我要應允天，天要應允地，
22	地要應允穀物、新酒和新油，這些要應允耶斯列。
23	我要把她栽種在這地，使她歸我，我要憐憫不蒙憐憫，對非我子民說：‘你是我的子民。’他會說：‘你是我的神。’”
第三章
 	何西阿贖回不忠的妻子
1	耶和華對我說：“你再去，愛那個為情人所愛而通姦的婦人，就像耶和華愛以色列人，儘管他們轉去跟隨別神，喜愛葡萄餅。”
2	於是，我用十五舍客勒銀子和一賀梅珥半大麥，買她回來歸我。
3	我對她說：“你要多日與我同住，不可行淫，不可屬別的男人，我也不會與你同房。”
 	以色列回轉歸主再蒙眷愛
4	因為以色列人也要多日沒有君王，沒有領袖，沒有祭祀，沒有神碑，沒有以弗得，沒有家中的神像。
5	將來以色列人要回歸，尋求耶和華他們的神，尋求大衛他們的王。在末後的日子，他們將因耶和華及他的美善激動不已。
第四章
 	以色列人的罪行
1	以色列人啊，當聽耶和華的話！耶和華指控這地的居民，因為這地沒有誠信、沒有忠誠之愛，並不認識神。
2	只有咒語、撒謊、兇殺、偷盜、通姦，血案頻頻，接連不斷。
3	為此，這地要哀悼，地上所有的居民都要衰微，田野的走獸、天空的飛鳥，甚至海裡的魚也要滅絕。
 	祭司們的罪行
4	“雖然這樣，你們不要爭執，也不要相互指責。你的人民像那些與祭司爭辯的人一樣。
5	因此，白天你會跌倒，夜晚，先知也會跟你一起跌倒，我要毀滅你的母親。
6	我的子民因無知識而滅亡；因為你棄絕知識，我也棄絕你做我的祭司；既然你忘記你神的律法，我也要忘記你的兒女。
7	祭司越增多，就越發犯罪干犯我，我要使他們的尊榮變為羞恥。
8	他們吃我子民的贖罪祭，滿心渴望他們犯罪。
9	所以，人民怎樣，祭司也怎樣。我要按照他們的行徑懲罰他們，按照他們的行為報應他們。
10	他們吃，卻吃不飽，行淫，卻不得興旺。因為，他們離棄耶和華，沉溺於淫亂。”
 	拜木偶的罪行
11	“葡萄酒和新酒，擄走了人的心。
12	我的子民求問木頭，他們的杖指引他們；淫蕩的靈使他們走迷，以致行淫離棄他們的神。
13	他們在各山頂上宰獻祭牲，在各山丘上，在橡樹、楊樹、大樹下燒獻祭物，因為樹蔭是那麼美好。因此，你們的女兒行淫，你們的兒媳通姦。
