羅馬書
第一章
 	問候
1	我是保羅，基督耶穌的奴僕，蒙召成為使徒，奉命傳揚神的福音。
2	這福音是神藉著眾先知在聖經裡預先應許的，
3	傳的是他兒子——我們的主耶穌基督：按肉身，他成為大衛的後裔；
4	藉著聖潔的靈，他因為從死人中復活，被立為以大能出現的神的兒子。
5	藉著他，為了他的名，我們領受了恩典成為使徒，要在萬族當中使人因為相信而順從，
6	其中包括你們這些蒙召歸屬耶穌基督的人。
7	我如今寫信給各位住在羅馬蒙神所愛、蒙召成為聖徒的人：願恩典、平安從我們的父神和主耶穌基督臨到你們！
 	保羅希望去羅馬
8	首先，我藉著耶穌基督為你們大家感謝我的神，因為你們的信心正在全世界傳揚。
9	我在傳揚他兒子福音的事上用我的靈侍奉的神，可以為我作證：我不斷提到你們，
10	在禱告裡總是祈求，如果合乎他的旨意，就讓我終有一天能夠順利到你們那裡去，
11	因為我渴望見到你們，好把一些屬靈恩賜分給你們，來堅定你們；
12	更確切地說，我在你們當中的時候，你們和我都可以藉著彼此共有的信心，一起得到激勵。
13	弟兄們，我不想你們不知道，我多次計劃到你們那裡去，要在你們當中結出一些果子，像在其餘的外族人當中一樣，只是至今一直受阻。
14	無論是對希臘人還是化外人，是對有智慧的人還是無學問的人，我都必須履行責任。
15	因此，我渴望把福音也傳給你們這些在羅馬的人。
 	福音是神的大能
16	我不以福音為恥，因為福音是神的大能，為要拯救每一個相信的人：先救猶太人，也救希臘人。
17	神的義正藉著這福音彰顯出來，因為信也為了信，正如經上所記：“因信稱義的人將得生命。”
 	人類的不義
18	由於人以不義壓制真理，神就衝著人的一切不虔不義，從天上彰顯出他的震怒。
19	事實上，神的事情，人能夠知道的，在他們裡面原是明顯的，因為神已經向他們顯明了。
20	其實自創世以來，神那些不可見的特性，就是他永恆的大能和神性，一直都清晰可見，從他所造的萬物裡就可以領悟，叫人無法抗辯。
21	這是因為他們雖然知道神的事情，卻不以他為神來榮耀他，也不感謝他，他們的思考反而變得虛空無用，愚昧無知的心就昏暗了。
22	他們自稱聰明，卻成了愚蠢。
23	他們以必朽之人、飛禽、走獸和爬行動物形狀的雕像，替代了不朽之神的榮耀。
24	因此，神就任由他們順著心裡的私慾去做污穢的事，互相羞辱身體；
25	這些人以虛假替換了神的真理，敬拜、侍奉受造之物，而非造物之主——主配受稱頌，直到永遠！阿們。
26	因此，神就任由他們放縱可恥的情慾：他們的女人以反常的性關係，替換了正常的性關係；
27	男人也是一樣，他們捨棄了和女人正常的性關係，男人和男人彼此慾火中燒，做出可恥的事，就在自己身上受到這樣胡作非為必遭的報應。
28	正如他們不屑承認神，神也任由他們存不屑一顧的心思，做出種種敗壞綱常的劣行：
29	充滿了各樣的不義、邪惡、貪心、惡毒；充斥著嫉妒、兇殺、爭鬥、欺詐、惡意；暗中造謠、
30	公然詆毀、憎恨神、暴虐欺凌、驕矜傲慢、自吹自擂、多方作惡、忤逆父母、
31	愚昧無知、毫無信義、冷酷無情、心無憐憫。
32	他們雖然明明知道神的公義規定，做這些事的人罪該處死，但是他們不僅自己去做，還贊許做這些事的人。
第二章
 	神要按每個人的行為施行賞罰
1	所以，你這評斷別人的人啊，不管你是誰，都無法抗辯！你在甚麼事上評斷別人，就在甚麼事上定自己的罪，因為你這評斷別人的，自己也在做同樣的事。
2	我們知道，對做這些事的人，神的懲罰是按真理的。
3	你這個人啊，你評斷做這些事的人，自己卻做同樣的事，你以為能逃脫神的懲罰嗎？
4	還是你藐視神豐富的恩慈、寬容和忍耐，不曉得他的恩慈是要領你悔改嗎？
5	可是你一直硬著心腸，不肯悔改，為自己在神發怒並彰顯公義審判的日子積蓄震怒。
6	神將按每個人的行為施行賞罰：
7	對於那些行善堅持不懈，尋求榮耀、尊貴和不朽的人，神就報以永生；
8	對於那些自私自利，不順從真理，反而順從不義的人，神就報以雷霆大怒。
9	又有患難和困苦加給所有作惡的人，先給猶太人，也給希臘人；
10	卻有榮耀、尊貴與平安賜給所有行善的人，先給猶太人，也給希臘人——
11	因為神不偏袒任何人。
12	凡是在律法之外犯了罪的人，都會在律法之外滅亡；凡是在律法之下犯了罪的人，都會按律法受審判，
13	因為不是聽律法的人蒙神視為義人，而是行律法的人得稱為義。
14	沒有律法的外族人，如果按本性行律法上的事，他們雖然沒有律法，自己就是自己的律法；
15	這就表明律法的要求寫在他們心上，有他們的良心作證，他們也用種種理由彼此控告，甚或抗辯。
16	照著神委託給我的福音，在神藉著耶穌基督審判各人隱祕事的日子裡，這些都要發生。
 	猶太人與律法
