提摩太後書
第一章
 	問候
1	我是保羅，奉神旨意，為了在基督耶穌裡生命的應許，成為基督耶穌的使徒；
2	我親愛的孩子提摩太，我如今寫信給你。願恩典、憐憫、平安從父神和我們的主基督耶穌臨到你！
 	為主作見證不要當作羞恥
3	當我在祈禱裡不斷想起你的時候——無論是晝是夜，我都向神謝恩，我像我祖先一樣，以清潔的良心侍奉這位神；
4	我一想起你的眼淚，就渴望見到你，好讓我滿心喜樂。
5	我還想起你裡面那無偽的信心；這信心首先住在你外祖母羅綺和你母親猶妮基裡面，我深信也住在你裡面。
6	為這緣故，我提醒你要重新燃起神的恩賜；這恩賜在你裡面，是神藉著我按手賜給你的。
7	要知道，神賜給我們的聖靈不會使人膽怯，而會使人有能力、仁愛、審慎自制。
8	所以，你不要以給我們的主作見證為恥，也不要以我這為主做囚徒的人為恥，倒要靠著神所賜的能力，為福音的緣故與我同受苦難。
9	神拯救了我們，以聖召呼召我們，不是按我們的行為，而是按他自己的永恆計劃和恩典；這恩典是他在萬世以前，在基督耶穌裡賜給我們的，
10	現在因為我們救主基督耶穌的顯現，已經表明出來；他廢掉了死亡，又藉著福音把不朽的生命彰顯出來。
11	我為這福音奉派做傳道、使徒和教師，
12	現在也因此受這些苦難，但是我不以為福音受苦為恥，因為我知道我信的是誰，也深信他能守護我給你的託付，直到那日。
13	你要靠著在基督耶穌裡的信心和愛，常常堅守從我這裡聽到的，作為健康純正話語的模範；
14	又要靠著那住在我們裡面的聖靈，守護那交託給你的善道。
15	你知道，所有在亞西亞的人都離棄了我，其中有腓格洛和赫摩格尼。
16	願主賜憐憫給奧尼色弗一家，因為他多次讓我得到活力，也不以我的鎖鏈為恥，
17	反而一到羅馬就急切地尋找我，結果找到了——
18	願主讓他在那日得到主的憐憫！至於他在以弗所怎樣多方服侍我，你自己很清楚知道。
第二章
 	做基督的精兵
1	所以，我兒啊，你要靠著在基督耶穌裡的恩典剛強起來；
2	而且，你要把你在許多見證人面前從我這裡聽見的，都交託給那些忠心、以後又能夠教導別人的人。
3	你作為基督耶穌的精兵，要和我一同受苦。
4	當兵的人沒有一個讓日常生活的事務纏身，這是為了討招兵的人喜歡。
5	再說，如果有人要參加競賽，除非他遵守規則去競賽，否則就不能贏得冠冕。
6	勤勞的農夫應該先有分於享受成果。
7	你要思考我的話，因為主會在一切事上賜給你領悟的能力。
8	你要記住耶穌基督，他已經從死人中復活，是大衛的後裔，這就是我所傳的福音。
9	我為這福音受苦難，甚至像犯人一樣被捆綁起來，然而神的道卻沒有被捆綁！
10	因此，我為蒙揀選的人忍受一切，好讓他們也可以得到在基督耶穌裡的救恩和永遠的榮耀。
11	以下這話是可靠的：“我們如果與基督同死，就會與他同活；
12	我們如果堅忍，就會與他一起為王；我們如果棄絕他，他也會棄絕我們；
13	即使我們背信，他仍然信實，因為他不能違背自己。”
 	做無愧的工人
14	你要提醒大家這些事，在神面前鄭重吩咐他們不要在言辭上爭鬥；那是毫無益處的，只會毀掉聽見的人。
15	你要竭力讓自己通過考驗，呈獻給神，做一個無愧的工人，正確地講解真理的道。
16	至於世俗的空談，你要避開，因為說這種話的人只會在不敬虔的事上“進展”更多！
17	他們的話將會像毒瘤一樣擴散，這些人當中有許米乃和腓理徒。
18	他們偏離了真理，說復活的事已經過去了，於是破壞了一些人的信心。
19	然而，神堅固的根基已經奠定，上面刻著這樣的銘文：“主認識屬於他的人”和“凡宣揚主名的人都要離開不義”。
20	大戶人家裡不但有金器、銀器，也有木器、瓦器；有的用作貴重的事，有的用作卑賤的事。
21	所以，人如果自潔，離開卑賤的事，就會成為用作貴重的事的器皿，分別為聖，合主人使用，預備好做各樣的善工。
22	你要逃避年輕人的私慾，要和那些以清潔的心呼求主的人一同追求公義、信實、愛與和平。
23	你要拒絕愚蠢和不學無知的爭論；你知道這些事會引起爭鬥。
24	但是，主的奴僕一定不要與人爭鬥，而要和藹待人，善於教導，逆來順受，
25	謙和地指正那些對抗的人，或許神會賜給他們悔改的心認識真理。
26	他們雖然曾經被魔鬼擄去順從魔鬼的意思，或許也能醒悟過來，脫離魔鬼的羅網。
第三章
 	末世的情況
1	這一點你要知道：在末後的日子裡將有艱難的時期來到，
2	因為那時人會專愛自己、貪愛錢財、自吹自擂、驕矜傲慢、褻瀆神、忤逆父母、忘恩負義、不聖潔、
3	冷酷無情、難以和解、惡言中傷、毫無自制、桀驁不馴、不愛良善、
4	叛主賣友、魯莽衝動、狂妄自大、愛享樂而不愛神，
5	有敬虔的形式，卻棄絕敬虔的能力；這些人你要避開！
6	要知道，他們中間有人潛入別人家裡，俘虜無知的婦女；這些婦女被一大堆罪惡壓住，又被各種私慾牽引，
7	雖然常常學習，卻總不能明白真理。
8	從前閻儡和閻悖怎樣跟摩西作對，這些人也怎樣跟真理作對。他們心思敗壞，在信仰上通不過考驗。
9	然而，他們不會有更多進展，因為他們的愚昧將會在眾人面前顯露出來，像閻儡和閻悖的愚昧一樣。
 	聖經都出自神的靈
10	至於你，你已經緊緊跟隨我的教導、品行、志向、信心、寬容、愛和堅忍，
11	以及我在安提阿、以哥念、路司得所受的迫害和苦難——我忍受了何等的迫害！然而主救我脫離了這一切。
12	其實，所有立志在基督耶穌裡過敬虔生活的人都會受迫害。
13	但是惡人和騙子會變得更壞，他們欺騙人也被人欺騙。
14	至於你，你要持守所學得、所確信的，因為你知道是跟誰學的，
15	並且知道自己從小就明白聖經，這聖經能夠使你有智慧，讓你藉著相信基督耶穌而得救。
16	全部聖經都出自神的靈，對教導、指責、使人歸正、培訓人行義都有益處，
17	好讓屬神的人完全勝任，裝備好做一切的善工。
第四章
 	務要傳道
1	我在神和在將要審判活人死人的基督耶穌面前，憑著他的顯現、他的王國鄭重吩咐你：
2	務要傳道；無論時機有利還是不利，都要常作準備，要用百般的忍耐和教導來指正人的過錯、警戒人、勸勉人。
3	因為時候快要到了，人忍受不了健康純正的教義，反而耳朵發癢，隨心所欲，招來一大堆教師，
4	並且轉離不聽真理，而轉向無稽之談。
5	至於你，你要凡事謹慎，忍受苦難，做傳福音者要做的工作，完全履行你的職務。
6	至於我，我現在已經被澆奠，我離世的時候也到了。
7	那美好的仗我已經打過了，競賽的路我已經跑完了，所持的信仰我已經守住了。
8	從此以後，有公義的冠冕為我存留，就是按公義審判的主，在那日要賞報給我的；不單給我，也給所有愛慕他顯現的人。
 	最後的吩咐
9	你要盡快到我這裡來，
10	因為狄馬貪愛現今的世界，離棄我去了帖撒羅尼迦；克勒斯基去了加拉太，提多去了達馬提亞，
11	只有路加在我這裡。你來的時候要帶馬可一起來，因為他在侍奉上對我很有幫助。
12	我派圖基古到以弗所去。
13	我留在特羅亞、在迦布那裡的外袍，你來的時候要帶來，還有那些書卷，特別是那些羊皮卷，也要帶來。
14	銅匠亞歷山大對我做了許多惡事，主將按他的行為報應他。
15	你也要提防他，因為他極力反對我們的話。
16	我第一次申辯的時候，沒有一個人支持我，反而人人都離棄我，但願這罪不要歸在他們身上；
17	然而主站在我旁邊，加給我力量，使福音的信息藉著我盡都傳開，讓萬族都可以聽見；我也從獅子口中獲救。
18	主會救我脫離人一切惡毒的作為，也會拯救我進入他屬天的王國。榮耀屬於他，直到永永遠遠！阿們。
 	問候的話
19	請你問候百姬拉和亞居拉，以及奧尼色弗一家的人。
20	伊拉斯圖在哥林多住下了。特羅非摩病了，我就留他在米利都。
21	你要盡快在入冬之前到我這裡來。猶布羅、普迪斯、黎諾、克勞蝶雅和弟兄們都問候你。
22	願主與你的靈同在！願恩典與你們同在！
