使徒行傳
第一章
 	吩咐門徒等候聖靈
1	提阿非羅：我已經寫了前書，敘述耶穌自開始以來所做所教的一切，
2	直到他藉著聖靈吩咐他揀選的使徒之後，被接去的那天。
3	耶穌受難以後，就用許多確據向使徒證明自己活著。他在四十天的時間裡向使徒顯現，並且談論神的王國的事。
4	耶穌和他們一起用餐的時候，吩咐他們：“不要離開耶路撒冷，而要等候父所應許的，就是你們聽我講過的：
5	約翰用水施洗，但是過不了多少天，你們將會受那用聖靈施行的洗禮。”
 	耶穌升天
6	他們聚集的時候問耶穌說：“主啊，你要在這時候復興以色列王國嗎？”
7	耶穌說：“父用自己權柄所定的時候或日期，不是可讓你們知道的，
8	但是聖靈臨到你們身上時，你們就會得到能力，並且會在耶路撒冷、整個猶太和撒瑪利亞地區，直到地極，作我的見證人。”
9	說完這些話，耶穌就在他們眾目注視之下被接上升；有一朵雲把他接去，他們就看不見他了。
10	當耶穌正在離去，他們一直定睛望天的時候，忽然有兩個身穿白衣的人站在他們旁邊，
11	說：“加利利人啊，為甚麼站在這裡盯著天空呢？這位被接去天上離開你們的耶穌，你們看見他怎樣往天上去，他也要怎樣回來。”
 	選出馬提亞接替猶大
12	於是，他們就從那座叫做“橄欖園”的山回到耶路撒冷；那山靠近耶路撒冷，相距大約有安息日可以走的路程。
13	他們進城，就上了他們所住的樓上房間，在那裡有彼得、約翰、雅各、安得烈、腓力、多馬、巴多羅邁、馬太、亞勒腓的兒子雅各、激進者西門、雅各的兒子猶大。
14	這些人跟幾個婦女、耶穌的母親馬利亞和耶穌的兄弟一起，堅持不懈一同禱告。
15	在那些日子裡，彼得在弟兄當中站起來講話——當時在一起的約有一百二十人之眾，他說：
16	“弟兄們，聖靈藉著大衛的口在經上預先論到猶大的話，是一定要應驗的；這猶大就是給人帶路捉拿耶穌的人。
17	他本來是我們中間的一員，蒙神選中得以領受這侍奉的工作——
18	可是，這人用行不義的報酬買了一塊田，後來他一頭栽倒，肚腹爆裂，腸子都迸流出來！
