撒迦利亞書
第一章
 	呼籲子民回轉歸向耶和華
1	大流士王在位第二年八月，耶和華的話臨到易多的孫子，比利迦的兒子撒迦利亞先知，說：
2	“耶和華曾非常惱怒你們的列祖。
3	所以，你要對我的子民說：‘萬軍之耶和華這樣說：“回到我這裡吧！”——這是萬軍之耶和華的宣告，“我就會回到你們那裡”——萬軍之耶和華這樣說。
4	“你們不要像你們的列祖那樣，從前的先知呼喚他們，說：‘萬軍之耶和華這樣說：“回頭吧，離開你們邪惡的行為！”’他們卻不聽從，也不理會我。”耶和華這樣宣告。
5	“你們的列祖，他們在哪裡呢？那些先知，他們能永遠活著嗎？
6	然而，我曾吩咐我僕人眾先知的那些話語和規定，違背它們的懲罰已經追上你們的列祖了！所以他們就回轉，說：‘萬軍之耶和華定意按我們的行為對付我們，他果然對我們這樣做了。’”’”
 	騎士和馬的異象
7	大流士王在位第二年十一月，就是細罷特月二十四日，耶和華的話臨到易多的孫子，比利迦的兒子撒迦利亞先知，說：
8	我夜間觀看，看見一人騎著紅馬，停駐在低窪地的香桃木樹林裡；在他後面還有些紅色、栗色和白色的馬。
9	我就問：“我主啊，這些是甚麼意思？”那與我說話的天使對我說：“我會使你明白這些是甚麼意思。”
10	接著那停駐在香桃木樹林裡的人回應，說：“這些就是耶和華所差遣在地上巡邏的人。”
11	那些騎士就回應那停駐在香桃木樹林裡的耶和華使者，說：“我們在遍地巡邏；看見全地都安定，一片平靜！”
12	於是耶和華的使者回應說：“萬軍之耶和華啊，你不憐憫耶路撒冷和猶大城鎮，要到幾時呢？這七十年來，你一直惱怒它們。”
13	耶和華就用滿有恩慈和安慰的話，回答那與我說話的天使。
14	那與我說話的天使對我說：“你要宣告：‘萬軍之耶和華這樣說：“我極其熱愛耶路撒冷和錫安。
15	我極其惱怒那些安逸的列國，我只是稍微惱怒我的子民，他們竟加深對我子民的禍害。”
16	因此，耶和華這樣說：“我要心懷憐憫回到耶路撒冷；我的殿要在其中重建，繩尺要拉在耶路撒冷之上。”’這是萬軍之耶和華的宣告。
17	你還要宣告：‘萬軍之耶和華這樣說：“我的城鎮要再昌盛繁榮，耶和華會再安慰錫安，再揀選耶路撒冷。”’”
 	四隻角和四工匠的異象
18	我舉目觀看，看見四隻角。
19	於是我對那與我說話的天使說：“這些角有甚麼意思？”他對我說：“這些角是驅散猶大，就是驅散以色列和耶路撒冷的勢力。”
20	接著，耶和華讓我看見四個工匠。
21	於是我問：“這些人來做甚麼？”他說：“那些勢力驅散猶大，以致沒有人可以抬起頭。但這些工匠要來驚嚇列國，覆滅列國的勢力；這些國家曾施展勢力攻擊猶大地，把猶大地的人驅散。”
第二章
 	量度者的異象
1	我舉目觀看，看見一個人手裡拿著量度用的繩尺。
2	於是我問：“你要去哪裡？”他對我說：“我去量度耶路撒冷，看看有多寬，有多長。”
3	不料，那與我說話的天使正出去時候，另有一位天使迎著他來，
4	對他說：“你快跑去告訴那個年輕人，說：‘耶路撒冷將會沒有城牆，因為住在其中的人和牲畜太多。
5	我自己要成為耶路撒冷周邊的火牆，成為其中的榮耀。’耶和華這樣宣告。”
6	“走吧，走吧！你們要從北方之地逃走！”耶和華這樣宣告，“因為如同天的四風，我曾散佈你們。”耶和華這樣宣告。
7	“走吧！住在女兒巴比倫的錫安人啊，你們逃出來吧！”
8	他的榮耀差遣我到那些擄掠你們的列國之後，萬軍之耶和華這樣說，“誰碰你們，就是碰我眼中的瞳仁。
9	我快要揮動我的手攻擊他們，他們就會成為自己奴僕的掠物！”這樣，你們就知道萬軍之耶和華差遣了我。
10	“女兒錫安啊，你們要歡呼快樂！因為，我很快就會來住在你們中間。”耶和華這樣宣告。
11	“在那日，許多國家會歸附耶和華，做我的子民；我會住在你們中間。”這樣，你們就知道萬軍之耶和華差遣我到你們這裡。
12	耶和華將要得回猶大，作他在這聖地上的產業，他要再次揀選耶路撒冷。
13	所有血肉凡人都當在耶和華面前肅靜，因為他從自己聖潔的居所被激動起來了。
第三章
 	潔淨約書亞大祭司的異象
1	他又讓我看見約書亞大祭司站在耶和華的使者面前；而撒但站在約書亞的右邊，要控告他。
2	耶和華對撒但說：“撒但啊，耶和華斥責你！那揀選耶路撒冷的耶和華斥責你，因為這個人是從火中抽出來的一根柴！”
3	那時，約書亞穿著污穢的衣袍，站在使者面前。
4	使者對那些侍立在自己面前的人鄭重地說：“你們要脫去他身上污穢的衣袍。”又對約書亞說：“你看，我已經從你身上除去罪污，給你穿上華美的禮服。”
5	我就說：“讓他們把潔淨的禮冠戴在他頭上！”他們就把那潔淨的禮冠戴在他頭上，又給他穿上衣袍。那時，耶和華的使者仍舊侍立。
6	耶和華的使者告誡約書亞，說：
7	“萬軍之耶和華這樣說：‘如果你走我的道路，遵守我的吩咐；你就可以管理我的殿，守護我的院宇；我也准許你在這些侍立者中間自由出入。
8	約書亞大祭司啊，你要聽！你和坐在你面前的同伴們都要聽，因為他們是預兆之人；我快要使我的僕人來到，他就是那“枝子”。
9	看我放在約書亞前面的寶石！這一塊寶石上有七個刻面。我要親自在它上面刻字，然後在一天之內，除去這地的罪污。’這是萬軍之耶和華的宣告。
10	‘到那日，你們各人要邀請自己的朋友來，坐在葡萄樹下和無花果樹下。’這是萬軍之耶和華的宣告。”
第四章
 	金燈台和橄欖樹的異象
1	那與我說話的天使回來喚醒我，我像從睡眠中被喚醒的人一樣。
2	他對我說：“你看見甚麼？”我說：“我觀看，看見一個金燈台，整個是金的，頂上有一個盆子，其上有七盞燈；頂上每盞燈有七個油管嘴。
3	燈台旁邊有兩棵橄欖樹，一棵在盆子右邊，一棵在左邊。”
4	我問那與我說話的天使，說：“我主啊，這些是甚麼意思？”
5	那與我說話的天使回答我，說：“你不知道這些是甚麼意思嗎？”我說：“我主啊，我不知道。”
6	他回答我說：“這是耶和華對所羅巴伯說的話：‘不是倚靠權勢，不是倚靠能力，而是倚靠我的靈。’這是萬軍之耶和華說的。
7	萬軍之耶和華這樣說：‘大山啊，你算得甚麼呢？你在所羅巴伯面前必夷為平地！他將搬出那塊頂石，那時人會歡呼說：“願恩惠、恩惠歸與這石！”’”
8	耶和華的話又臨到我，說：
9	“所羅巴伯的手奠立這殿的根基，他的手也會完成這工；之後你就知道，是萬軍之耶和華差遣我到你們這裡來。
10	因為誰敢藐視這進展輕微的日子呢？當人們看見所羅巴伯手裡拿著測錘，就會歡喜。這七盞燈是耶和華的眼目，遍察全地。”
11	我再問他，說：“在這燈台左右的這兩棵橄欖樹是甚麼意思？”
12	我又問他：“這兩根橄欖樹枝，就是在這兩根流出金色油的金管子邊的，究竟是甚麼？”
13	他對我說：“你不知道這些是甚麼意思嗎？”我說：“我主啊，我不知道。”
14	他說：“這就是侍立在全地之主旁邊的兩位新油之子。”
第五章
 	飛行書卷的異象
1	我又舉目觀看，看見一飛行的書卷。
2	他對我說：“你看見甚麼？”我說：“我看見一飛行的書卷，長二十肘，寬十肘。”
3	他對我說：“這是去到全地上的詛咒；所有的盜賊，都要照著書卷這面的詛咒被清除；所有的起假誓者，都要照著書卷那面的詛咒被清除。
4	萬軍之耶和華宣告：‘我要把這詛咒發出去，進入盜賊的家和指著我的名起假誓之人的家，留在他的家裡，要把他家連木料和石頭都毀滅了。’”
 	量器的異象
5	那與我說話的天使又出來對我說：“你要舉目觀看，看看這出來的是甚麼？”
6	我說：“那是甚麼？”他說：“這出來的是個量器。”他又說：“這是他們在全地上的罪惡。”
7	忽然，量器的圓形鉛蓋被掀開，有一個婦人坐在量器裡面。
