帖撒羅尼迦後書
第一章
 	問候
1	我是保羅，如今與西拉和提摩太寫信給在我們父神和主耶穌基督裡的帖撒羅尼迦人教會。
2	願恩典、平安從父神和主耶穌基督臨到你們！
 	主再來時必施行審判
3	弟兄們，我們應該常常為你們感謝神，這是合宜的，因為你們的信心格外長進，你們每一個人也越加彼此相愛。
4	因此，我們自己在神的眾教會裡以你們為榮，因為你們在忍受一切迫害和患難的時候，仍然堅忍不拔，保持信心。
5	你們蒙神視為配得上他的王國，這就顯明神的公義審判；你們也正是為了這王國而受苦。
6	神會用患難報應那些把患難加給你們的人，
7	並且使你們這些受患難的人可以和我們同享安息；他這樣做是公義的。那時，主耶穌會帶著他大能的天使從天上顯現，
8	用火焰報應懲罰那些不認識神和那些不聽從我們主耶穌福音的人；
9	主來到的時候，他們就要受懲罰，永遠滅亡，離開主的面，離開他權能的榮耀。
10	在那一天，他要在自己的聖徒當中得榮耀，在所有信徒當中受景仰；你們也在其中，因為你們信了我們在你們當中的見證。
11	為此，我們也常常為你們禱告，求我們的神看你們配得上他的呼召，並且用大能成全你們一切向善的心願和信心的工作，
12	照著我們的神和主耶穌基督的恩典，使我們主耶穌的名在你們當中得榮耀，你們也因為在他裡面而得榮耀。
第二章
 	那不法的人將會顯露
1	弟兄們，關於我們主耶穌基督的來臨，以及他招聚我們到他那裡的事，我們請求你們：
2	如果有人說主的日子現在到了——無論是藉著靈，藉著言語，或藉著好像來自我們的書信，你們都不要輕易動心，也不要驚慌。
3	不要讓任何人用任何方法欺騙你們，因為那日子來到以前，必定先有反叛神的事，並且那不法的人，就是那滅亡之子，也會顯露出來。
4	他跟一切所謂的神或受人敬拜的對象作對，高抬自己在這一切之上，結果就坐在神的聖所裡，公然宣稱自己是神。
5	我還在你們那裡的時候，屢次把這些事告訴你們，難道你們不記得嗎？
6	如今你們也知道甚麼在遏制著他，使他到了他自己的時候才顯露出來。
7	其實那不法的詭祕力量已經發動，只等現在遏制著他的那位離去，
8	那時，這不法的人會顯露出來，主耶穌會用自己口中的氣殺掉他，以自己來臨顯現時的光輝消滅他。
9	這不法的人來臨，是靠撒但所發揮的力量，這人具有一切能力，施展種種虛詐的神蹟奇能，
10	並且對那些走向滅亡的人施行各樣不義的詭詐，因為他們既不愛也不接受那可使他們得救的真理。
11	因此，神就把一種施行欺騙的力量打發去他們當中，讓他們相信虛詐的事，
12	好使所有不相信真理倒喜愛不義的人都被定罪。
 	站立穩固，持守信仰
13	主所愛的弟兄們啊，我們應該常常為你們感謝神，因為他從起初就揀選了你們，使你們靠聖靈分別為聖，相信真理，因而得救。
14	為此，神藉著我們所傳的福音呼召你們，好使你們獲得我們主耶穌基督的榮耀。
15	因此，弟兄們，你們要站立穩固；我們傳授的教導，無論是藉著言語，還是藉著書信，你們受教了就都要持守。
16	願我們的主耶穌基督，以及那愛我們又藉著恩典把永遠的安慰和美好的盼望賜給我們的父神，親自
17	安慰你們的心，並且在一切善行善言上堅定你們。
第三章
 	祈求主的道快快傳開
1	還有，弟兄們，請為我們禱告，求神讓主的道快快傳開並得到榮耀，就像在你們那裡一樣，
2	也求神救我們脫離那些邪惡不軌的人，因為並非人人都相信福音。
3	主卻是信實的，他會堅定你們，保護你們脫離那惡者。
4	我們靠著主深深相信，你們現在和將來都會遵行我們的吩咐。
5	願主引導你們的心進入神的愛，又進入基督的堅忍。
 	不可游手好閒
6	弟兄們，我們奉主耶穌基督的名吩咐你們，凡是有弟兄過著游手好閒的生活，不遵照我們傳授給他們的教導，你們都要遠離。
7	其實你們自己知道應該怎樣效法我們，因為我們在你們當中的時候並沒有游手好閒，
8	也沒有白吃過誰的餅，而是勞苦艱辛，不分晝夜地做工，免得成為你們任何人的負擔。
9	這不是因為我們沒有權利，而是要自己給你們樹立榜樣，使你們可以效法。
10	其實我們還在你們那裡的時候，也曾經屢次吩咐你們，任何人不肯做工，就不得食。
11	可是，我們現在聽說你們中間有人過著游手好閒的生活，甚麼工都不做，反而好管閒事。
12	我們靠著主耶穌基督，吩咐、勸誡這樣的人：要安靜做工，自食其力。
13	弟兄們，你們行善不可灰心。
14	如果有人不聽從我們這封信上的話，你們就要特別留意這個人，不要和他來往，好讓他感到慚愧；
15	但不要把他看作仇敵，卻要像勸誡弟兄一樣勸誡他。
 	祝福
16	願賜平安的主隨時用一切方法親自賜給你們平安！願主與你們眾人同在！
17	我保羅親筆問候你們，這是我每一封信的記號；我的筆跡就是這樣。
18	願我們主耶穌基督的恩典與你們眾人同在！
