創世記
第一章
 	神創造天地萬物
1	起初，神創造天地。
2	大地荒涼，渺無生息，深淵上面一片黑暗，神的靈在水面上方盤旋。
3	神說：“要有光！”就有了光。
4	神看見光很美好！神把光暗分開，
5	神稱光為“晝”；黑暗，他稱為“夜”。有晚上，有早晨，是第一天。
6	神說：“眾水之間要有穹蒼，把水和水分開！”
7	神造了穹蒼，把穹蒼下面的水和穹蒼上面的水分開，事就這樣成了。
8	神稱穹蒼為“天”。有晚上，有早晨，是第二天。
9	神說：“天下面的水要匯聚在一處，使乾地露出來！”事就這樣成了。
10	神稱乾地為“地”；匯聚在一起的水，他稱為“海”。神看見這很美好！
11	神說：“地要長出草木！地上要有結種子的草穀豆蔬和各類結果子的果樹，果子裡面有種子。”事就這樣成了。
12	於是地生出草木：各類結種子的草穀豆蔬、各類結果子的樹木，果子裡面有種子。神看見這很美好！
13	有晚上，有早晨，是第三天。
14	神說：“天穹中要有光體來分晝夜，要作為記號，定節期，定日子年份；
15	這些光體要在天穹裡發光，光照大地！”事就這樣成了。
16	於是，神造了兩個大光體，大的光體管晝，小的光體管夜；又造了群星。
17	神把這些擺放在天穹中，光照大地，
18	管晝夜，分光暗。神看見這很美好！
19	有晚上，有早晨，是第四天。
20	神說：“水裡要滋生眾多有生命的動物；大地上方、天穹下面要有雀鳥飛翔！”
21	神創造了巨大的海蛇，以及各種各類在水裡滋生成群游動的、有生命的動物；又造了各種各類有翅膀的飛鳥。神看見這很美好！
22	神賜福給牠們，說：“要繁衍、增多，遍滿海洋的水；飛鳥也要在地上增多！”
23	有晚上，有早晨，是第五天。
24	神說：“地要生出各類有生命的動物，就是各類牲畜、爬行動物、地上的野獸。”事就這樣成了。
25	於是，神造了各類地上的野獸、各類牲畜，以及地上各種各類爬行動物。神看見這很美好！
 	神創造人類
26	神說：“我們要照我們的形象，按我們的樣式造人，要讓他們統管海裡的魚、天空的飛鳥、牲畜和整個大地，以及一切在地上活動的爬行動物！”
27	於是，神照著自己的形象創造了人，照著神的形象，他創造了他們，男和女，他都創造了。
28	神就賜福給他們，神對他們說：“要繁衍、增多，遍滿大地，主宰大地；也要統管海裡的魚、天空的飛鳥和一切在地上活動的野獸。”
29	神說：“看哪，整個地面上所有結種子的草穀豆蔬、所有果子裡有種子的樹，我都賜給你們作食物。
30	至於地上各種野獸、天空的各種飛鳥、各種在地上活動的有生命的動物，我把所有草穀豆蔬等植物都賜給牠們作食物。”事就這樣成了。
31	神看見自己所造的一切的確非常美好！有晚上，有早晨，這是第六天。
第二章
 	神設立安息日
1	這樣，天地和其中井然有序的萬物都造齊了。
2	第七天，神已經完成造物的工作；第七天，他歇了一切造物的工作。
3	神賜福給第七天，把這天分別為聖，因為神在這天歇了一切創造的工作。
 	神造人並設置伊甸園
4	以下是創造天地及其後發生的事：耶和華神造地和天的時候，
5	地上田野還沒有任何灌木，田野還沒有長出任何草穀豆蔬，因為耶和華神還沒有降雨在地上，也沒有人耕種土地；
6	不過有泉水從地裡湧上來，澆灌整片土地。
7	耶和華神用土地的塵土塑造了亞當，把生命之氣吹進他的鼻孔，亞當就成了有生命的人。
8	耶和華神在東方的伊甸栽種了一個園子，把他塑造的亞當放在那裡。
9	耶和華神使各種樹木從土地裡長起來，使人看著喜愛，果子又是好的食物。生命樹就在園子中央，那裡還有善惡知識樹。
10	有一條河從伊甸流出來，澆灌那個園子，又從那裡分開，成了四條河的源頭。
11	第一條名叫比遜，輾轉流遍哈腓拉全地，在那裡有金子——
12	那地金子精純，在那裡還有芬香樹脂和瑪瑙石。
13	第二條河名叫基訓，輾轉流遍古實全地。
14	第三條河名叫底格里斯，流經亞述東面。第四條河就是幼發拉底。
15	耶和華神把亞當帶來，安置在伊甸園裡，讓他耕種、看管園子。
16	耶和華神吩咐亞當說：“園裡各種樹的果子，你完全可以吃；
17	只有那棵善惡知識樹的果子，你不可吃；因為你吃了，當天就一定死！”
 	神造女人並建立婚姻
18	耶和華神說：“亞當獨自一個不好，我要為他造個與他相配的幫助者。”
19	耶和華神用泥土塑造了田野的各種動物、天空的各種飛鳥，帶到亞當面前，要看他怎樣命名；無論亞當叫哪一種有生命的動物甚麼，那就是牠的名字。
