提多書
第一章
 	問候
1	我是神的奴僕保羅——我成為耶穌基督的使徒，是為了蒙神揀選的人的信仰，使他們認識那合乎敬虔的真理，
2	讓他們有永生的盼望，這永生是真實不欺的神在萬世以前所應許的；
3	到了所定的時候，神就藉著我們宣講福音把他的道顯明出來；這宣講的工作已經按照神——我們救主的命令，委託給我。
4	提多，我在共同信仰上的真孩子，我如今寫信給你：願恩典、平安從父神和我們的救主基督耶穌臨到你！
 	提多在克里特的工作
5	我從前留你在克里特島，是要你辦好那些還沒有完成的事，並且照我的吩咐在各城設立長老。
6	一個人必須無可指摘，只可以是一個妻子的丈夫，兒女都信主，也沒有人控告兒女放蕩或不受約束，才可以做長老。
7	因為監督是神的管家，所以他必須無可指摘、不任性、不輕易動怒、不醉酒鬧事、不打架、不貪婪無恥；
8	而要樂於款待客人、喜愛良善、審慎自制、公正、聖潔、克己自持，
9	堅守合乎教義而可靠的道，好讓自己能夠用健康純正的教導來勸勉人，並且能夠指出反對者的過錯。
10	要知道，有許多人不受約束、好講空話、欺騙人，那些嚴守割禮的人尤其是這樣。
11	這些人的嘴必須堵住，因為他們貪婪無恥，教導人一些不應該教導的事，把許多家庭整個都破壞了。
12	有一個克里特本地的先知曾說：“克里特人總是說謊的人，他們是惡獸，好吃懶做。”
13	這見證是真的。為這緣故，你要嚴厲地指出他們的過錯，好使他們在信仰上健康純正，
14	不再沉迷於猶太人的無稽之談和偏離真理者的規條。
15	對於潔淨的人，一切都是潔淨的；但是對於污穢和不信的人，沒有一樣是潔淨的，連他們的心思和良心都污穢了。
16	他們聲稱認識神，卻在行為上不承認他。他們是可憎的、叛逆的，任何善工也不配做。
第二章
 	要傳講健康純正的教義
1	至於你，你所講的要合乎健康純正的教義。
2	要勸老年男人不嗜酒、莊重、審慎自制，在信心、愛和堅忍上都健康純正。
3	照樣，要勸老年婦女行為舉止要虔誠，不中傷別人，不做酒的奴隸；她們要用善道教導人，
4	好訓導年輕婦女愛丈夫愛兒女，
5	並且審慎自制、貞潔、理家、善良，順從自己的丈夫，免得神的道被人褻瀆。
6	照樣，要勸年輕男子凡事都要審慎自制。
7	你要顯明自己為善行的榜樣，在教導上要純正，要莊重，
8	言辭要健康純正，無可指摘，讓反對的人說不出甚麼關於我們的壞話，就因而自覺慚愧。
9	要勸奴僕凡事服從自己的主人，討他歡喜，不頂嘴，
10	不偷東西，倒要顯出一切美好的忠誠，好在一切事上都為神——我們救主的教導增光。
11	要知道，神拯救萬人的恩典已經顯明出來了；
12	這恩典培育我們，使我們棄絕不敬虔的事和屬世的私慾，在今生過著審慎自制、公義、敬虔的生活，
13	等候那有福的盼望，就是我們偉大的神和救主耶穌基督榮耀的顯現。
14	基督為我們捨己，是為了救贖我們脫離一切不法的事，並且潔淨我們成為他特有珍貴產業的子民，使我們熱心行善。
15	你要傳講這些事，運用一切權柄去勸誡人，指出人的過錯；不要讓任何人輕看你。
第三章
 	要常常關心善工
1	你要提醒他們：要服從執政的、掌權的，聽從他們，要為一切善工做好準備。
2	不要辱罵人，不要好鬥；要溫厚，向所有人顯出完全的謙和。
3	我們從前也是無知、叛逆、迷誤的，被各種私慾和享樂所奴役，生活在惡毒和嫉妒之中，是可憎惡的，又互相憎恨。
4	然而，到了神——我們救主的恩慈和他對人類的慈愛顯明的時候，
5	他就拯救了我們，並不是由於我們所行的義，而是出於他的憐憫；他藉著聖靈使我們重生，更新我們，把我們洗淨；
6	神藉著我們的救主耶穌基督，把這聖靈豐豐富富地傾倒在我們身上，
7	使我們既因他的恩典得稱為義，就可以照著永生的盼望成為承受產業的人。
8	這話是可靠的；我希望你堅持這些事，好讓那些信了神的人常常關心善工。這些都是美事，並且對人有益。
9	至於愚昧的爭辯、家譜、紛爭和有關律法的爭執，你要避開，因為這些都沒有益處，虛空無用。
10	製造分裂的人，警戒一兩次之後，就要棄絕，
11	因為你知道這種人已經背道，常常犯罪，定了自己的罪。
 	囑咐和問候
12	我派亞提馬或圖基古到你那裡去的時候，你要盡快到尼哥坡利去見我，因為我已經決定在那裡過冬。
13	你要盡力幫助西納律師和亞波羅上路，讓他們一無所缺。
14	我們自己的人也應當學習關心善工，供應各種迫切的需要，免得不結果子。
15	所有與我在一起的人都問候你。請你問候那些在信仰上愛我們的人。願恩典與你們眾人同在！
