哥林多後書
第一章
 	問候
1	我是保羅，奉神旨意成為基督耶穌的使徒，如今與提摩太弟兄寫信給在哥林多神的教會和全亞該亞所有的聖徒。
2	願恩典、平安從我們的父神和主耶穌基督臨到你們！
 	患難中神賜安慰
3	我們主耶穌基督的父神配受稱頌；他是滿有憐憫的父，賜各樣安慰的神。
4	神在我們的一切患難裡都安慰我們，使我們能夠用從他領受的安慰，去安慰那些在各樣患難裡的人，
5	因為正如我們更多受基督的苦難，我們也就藉著基督更多得安慰。
6	如果我們受患難，那是要你們得安慰和拯救；如果我們得安慰，也是要你們得安慰。這安慰發揮功效，使你們能夠忍受我們所受的種種苦難。
7	我們對你們的期望是堅定的，因為知道你們怎樣和我們一同受苦，也會怎樣和我們同得安慰。
8	弟兄們，我們不想你們不知道我們在亞西亞所受的患難：那時我們承受極度的重壓，力不能支，甚至連生還都絕望了，
9	而且斷定自己必死無疑；然而，這正是要我們不倚靠自己，只倚靠那叫死人復活的神。
10	他曾經把我們從如此大的死亡裡拯救出來，而且他還會拯救我們，我們盼望他將來仍然會拯救我們，
11	因為你們也一同用禱告支持我們。這樣，恩典藉著許多人臨到我們，好使許多人為我們所蒙的恩感謝神。
 	保羅計劃再到哥林多
12	我們引以為榮的，就是我們在世上行事為人本著神的聖潔和真誠；不是靠肉體的智慧，而是靠著神的恩典，我們對你們更是這樣，這些都有我們的良心為證。
13	我們寫給你們的，無非是你們可以宣讀、可以明白的。我盼望你們可以徹底明白——
14	正如你們已經部分明白我們所寫的——在我們主耶穌的日子，我們是你們的光榮，你們也是我們的光榮。
15	我既然有這樣的信念，我先前就打算到你們那裡去，使你們得到兩次的恩惠：
16	我打算經過你們那裡到馬其頓去，再從馬其頓回到你們那裡，讓你們幫助我上路往猶太去。
17	難道我這樣決定是輕率的嗎？難道我決定的是順著肉體而定，以致我反覆無常嗎？
18	神是信實的，我們傳給你們的道並不反覆無常，
19	因為我、西拉和提摩太在你們中間宣揚的神兒子耶穌基督並不反覆無常；相反，在基督裡這道總是真確不移的。
20	事實上，神的一切應許在基督裡都真確不移，所以我們藉著他說“阿們”，使榮耀藉著我們歸於神。
21	那位使我們和你們一起確立在基督裡，又膏抹我們的，就是神。
22	他又在我們身上蓋了印，就是賜聖靈在我們心裡作為保證。
23	我以自己的性命呼求神為我作證：我沒有再到哥林多去，是要寬容你們。
24	我們並不是要轄制你們的信仰，而是要做你們的同工，使你們喜樂，因為你們在信仰上已經站穩了。
第二章
1	所以，我自己當時就這樣決定：再到你們那裡去的時候，不要有悲傷的事。
2	要知道，如果是我使你們悲傷，那麼除了你們這些被我弄得悲傷的人以外，誰還可以使我快樂呢？
3	我寫那封信，正是為了避免我來的時候，那些本該使我快樂的人反而使我悲傷；當時我深信，你們大家都以我的喜樂為你們大家的喜樂。
