列王紀下
第一章
 	先知預言亞哈謝必死
1	亞哈死後，摩押背叛以色列。
2	有一天，亞哈謝在撒瑪利亞，從樓上的窗格跌下來，受了重傷。於是他派遣使者，對他們說：“你們去求問以革倫的神巴力西卜，我這個病到底能否痊癒？”
3	但耶和華的使者對提斯比人以利亞說：“你動身上去，和撒瑪利亞王的使者見面，對他們說：‘難道是因為在以色列中沒有神，你們才去求問以革倫的神巴力西卜嗎？
4	因此，耶和華這樣說：你再也不能從你躺臥的那張床下來，因為你一定死。’”於是以利亞去了。
5	那些使者回到亞哈謝那裡。王對他們說：“你們怎麼回來了呢？”
6	他們對王說：“有一個人上來和我們見面，對我們說：‘去吧，回到那派遣你們的王那裡，對他說：耶和華這樣說，難道是因為在以色列中沒有神，你才派人去求問以革倫的神巴力西卜嗎？因此，你再也不能從你躺臥的那張床下來，因為你一定死。’”
7	王對他們說：“那上來和你們見面，對你們說這番話的人是甚麼模樣？”
8	他們對王說：“那人身上很多毛，腰間束著皮帶。”王說：“那是提斯比人以利亞！”
 	王派一個五十夫長來見以利亞
9	於是王派一個五十夫長，帶著五十名部下到以利亞那裡。五十夫長上到以利亞那裡，就見以利亞正坐在山頂上。於是他對以利亞說：“神人啊，王吩咐你：‘下來！’”
10	以利亞回答五十夫長說：“如果我是神人，願火從天而降，吞噬你和你的五十名部下。”於是有火從天而降，吞噬了五十夫長和他的五十名部下。
 	王又派另一個五十夫長來見以利亞
11	王又派另一個五十夫長，帶著五十名部下到以利亞那裡。五十夫長對以利亞說：“神人啊，王這樣吩咐：‘趕快下來！’”
12	以利亞回答他們說：“如果我是神人，願火從天而降，吞噬你和你的五十名部下。”於是神的火從天而降，吞噬了五十夫長和他的五十名部下。
 	王又派第三個五十夫長來見以利亞
13	王又派第三個五十夫長及其五十個部下；第三個五十夫長上來，雙膝跪在以利亞面前，懇求他，對他說：“神人啊，願我的性命和你這五十個僕人的性命在你眼中視為寶貴！
14	要知道，已經有火從天而降，吞噬先前兩個五十夫長和他們各自的五十名部下！現在，願我的性命在你眼中視為寶貴。”
15	耶和華的使者對以利亞說：“你和他下去吧，不要怕他！”於是以利亞起來，和他下山到王那裡去。
16	以利亞對王說：“耶和華這樣說：‘你竟然派使者去求問以革倫的神巴力西卜！難道是因為在以色列中沒有神可以讓你求問他的話嗎？因此，你再也不能從你躺臥的那張床下來，因為你一定死。’”
 	亞哈謝逝世
17	照耶和華藉著以利亞所說的那樣，亞哈謝死了。由於他沒有兒子，他的弟弟約蘭就接替他為王，那時是約沙法的兒子猶大王約蘭在位第二年。
18	亞哈謝其餘的作為，都已經寫在《以色列諸王編年史》上。
第二章
 	以利亞被接升天
1	耶和華要用旋風接以利亞往天上去的時候，以利亞和以利沙已離開吉甲上路。
2	以利亞對以利沙說：“你留在這裡吧！因為耶和華差派我前往伯特利。”以利沙說：“我指著永活的耶和華和你的性命起誓：我決不會離開你。”於是他們下到伯特利。
3	有一群先知弟子在伯特利，他們出來見以利沙，對他說：“今天耶和華要接你的師父離開你，你知道嗎？”他說：“我知道。你們不要作聲。”
4	以利亞對以利沙說：“你留在這裡吧！因為耶和華差派我前往耶利哥。”他說：“我指著永活的耶和華和你的性命起誓：我決不會離開你。”於是他們來到耶利哥。
5	有一群先知弟子在耶利哥，他們來見以利沙，對他說：“今天耶和華要接你的師父離開你，你知道嗎？”他說：“我知道。你們不要作聲。”
6	以利亞對他說：“你留在這裡吧！因為耶和華差派我前往約旦河。”以利沙說：“我指著永活的耶和華和你的性命起誓：我決不會離開你。”於是他們二人繼續前行。
7	他們二人在約旦河邊停住；有五十個先知弟子前來，遠遠地站著。
8	以利亞拿著自己的外衣，捲起來，擊打河水，水就左右分開，他們二人就在乾地上走過去了。
9	他們過去之後，以利亞對以利沙說：“在我被接走離開你之前，我可以為你做些甚麼，你儘管求吧！”以利沙說：“願我可以得到你的靈的雙份。”
10	以利亞說：“你所求的是一件難事，不過當我被接走離開你的時候，如果你看見我，就可得到，否則就得不到。”
11	他們邊走邊談，忽然，有火戰車和火馬出現，把他們二人隔開，以利亞就乘著旋風升到天上去了。
12	以利沙看見，就喊叫：“我父啊，我父啊，以色列的戰車和戰車兵啊！”然後就看不見他了。以利沙抓住自己的衣服，撕成兩片。
13	他拾起從以利亞身上掉下來的外衣，回到約旦河邊，站在那裡。
14	他用從以利亞身上掉下來的外衣擊打河水，說：“耶和華以利亞的神在哪裡？”他擊打河水，水也左右分開，以利沙就走過去了。
15	那些在耶利哥的先知弟子從遠處看見，就說：“以利亞的靈停在以利沙身上了。”他們就來迎接他，俯伏在地向他下拜。
16	他們對他說：“請看，你的僕人們有五十個壯士在這裡；請讓他們去尋找你的師父，或許耶和華的靈把他提去，丟在某一座山上，或某一處山谷裡。”以利沙說：“你們不必派人去。”
17	他們再三催促他，直到他不好意思推辭，只好說：“你們派人去吧！”他們就派出五十個人，尋覓了三天，仍然找不到。
18	他們回到以利沙那裡；那時，他還停留在耶利哥，他對他們說：“我早已告訴過你們不必去了！”
 	以利沙治好惡水
19	城裡的人對以利沙說：“師父，如你所見，這城的位置很好，可惜水質惡劣，以致土地沒有出產。”
20	以利沙說：“拿一個新碗來給我，裡面要盛一點鹽。”他們就把碗拿給他。
21	他就出去到水源那裡，把鹽倒在水裡，然後說：“耶和華這樣說：‘我已經醫好了這水；它再也不會使人死亡或使土地沒有出產了。’”
22	果然，那水醫好了，直到今天，正如以利沙所說的那樣。
23	以利沙從那裡上伯特利，正沿路上行的時候，有一幫少年人從城裡出來，譏笑他，說：“禿子上去！禿子上去！”
24	以利沙轉身看見他們，就奉耶和華的名詛咒他們。於是有兩隻母熊從樹林裡出來，撕裂他們中間四十二個年輕人。
25	以利沙從伯特利去到迦密山，又從迦密山回到撒瑪利亞。
第三章
 	約蘭登基為以色列王
1	猶大王約沙法在位第十八年，亞哈的兒子約蘭在撒瑪利亞登基；他為王統治以色列十二年。
