哈該書
第一章
 	耶和華對猶大人民的責問
1	大流士王在位第二年六月一日，耶和華的話藉著哈該先知傳達給撒拉鐵的兒子猶大省長所羅巴伯，以及約薩達的兒子約書亞大祭司：
2	“萬軍之耶和華這樣說：‘這人民說，時候未到，重建耶和華殿的時候未到。’”
3	於是，耶和華的話藉著哈該先知傳達給他們：
4	“這殿仍然荒廢，現在是你們住在自己有鑲板的宮殿中的時候嗎？
5	現在，萬軍之耶和華這樣說：‘你們要用心反省自己的所作所為。
6	你們撒的種多，收成卻寥寥無幾；吃，卻吃不飽；喝，卻喝不足；穿，卻穿不暖；掙得工錢的人，卻把工錢放在有破洞的袋裡。’
7	“萬軍之耶和華這樣說：‘你們要用心反省自己的所作所為！’
8	耶和華說：‘你們要上山取木材，重建這殿！我就會因此喜悅，並且要得榮耀。
9	你們盼望豐收，可是收成竟然寥寥無幾！你們帶回家，我就吹去！為甚麼呢？’萬軍之耶和華宣告：‘這是因為我的殿荒廢，而你們各人卻為自己的宮殿奔波！
10	所以，因你們的緣故，天就不降甘露，地也沒有出產。
11	我叫乾旱臨到大地、群山、穀物、新酒、新油和地的出產，也臨到人和牲畜，以及人手勞碌得來的一切。’”
 	人民聽命動工重建聖殿
12	那時，撒拉鐵的兒子所羅巴伯、約薩達的兒子約書亞大祭司和所有餘民，都聽從耶和華他們神的話，就是耶和華他們的神所差來的哈該先知的話。眾民在耶和華面前都存著敬畏之心。
13	耶和華的使者哈該按耶和華的吩咐對眾民說：“耶和華說：‘我與你們同在！’”
14	於是耶和華喚醒撒拉鐵的兒子猶大省長所羅巴伯的心靈、約薩達的兒子約書亞大祭司的心靈，以及所有餘民的心靈，他們就動工重建萬軍之耶和華他們神的殿。
15	那時是大流士王第二年六月二十四日。
第二章
 	新殿將有極大的榮耀
1	七月二十一日，耶和華的話臨到哈該先知，說：
2	“你要對撒拉鐵的兒子猶大省長所羅巴伯、約薩達的兒子約書亞大祭司，以及那些餘民，說：
3	‘你們這些餘民當中有誰見過這殿先前的榮耀？現在這殿你們看起來怎樣？在你們的眼中是如同無物吧！’”
4	“耶和華宣告：‘現在，所羅巴伯啊，你要堅強！’耶和華宣告：‘約薩達的兒子約書亞大祭司啊，你也要堅強！這地的所有人民啊，你們都要堅強！’萬軍之耶和華宣告：‘你們要工作，因為我與你們同在！
5	這就是你們從埃及出來的時候，我與你們立約的話。現在我的靈依然在你們中間，你們不要害怕。’”
6	“萬軍之耶和華這樣說：‘還有不久，我就要再一次震動天、地、海和乾地。’
7	萬軍之耶和華說：‘我要震動萬國，萬國的珍寶都將運來；我要這殿充滿榮耀。’
8	萬軍之耶和華宣告：‘銀子屬我，金子也屬我。’
9	萬軍之耶和華說：‘這殿後來將有極大的榮耀，超過先前的榮耀。’萬軍之耶和華宣告：‘在這地方，我會賜下平安。’”
 	指出人民的不潔淨
10	大流士王第二年九月二十四日，耶和華的話臨到哈該先知，說：
11	“萬軍之耶和華這樣說：‘你要向祭司們詢問律法：
12	人若用自己的衣襟把分別為聖的祭肉包起來，後來以他的衣襟觸碰餅、湯、葡萄酒、橄欖油或任何食物，這些東西也會分別為聖嗎？’”那些祭司回答說：“不會。”
13	哈該又說：“人若接觸了屍體而不潔淨，然後接觸任何東西，這東西就會變得不潔淨嗎？”那些祭司回答說：“會變得不潔淨。”
14	於是哈該鄭重地說：“耶和華宣告：‘照樣，這人民，這國家在我面前也不潔淨；照樣，他們手裡的一切工作，他們在那裡所獻的，都不潔淨。’”
 	吩咐人民用心反省，並應許賜福
15	“所以，從今天起你們要用心反省：在耶和華的殿還沒有一塊石頭疊在另一塊石頭上面以前，
16	那時你們怎樣呢？有人來到穀堆，以為可得二十筐，卻只得十筐，有人來到榨酒池去，想舀五十桶，卻只得二十桶。
17	耶和華說：‘我用枯萎、霉爛和冰雹擊打你們和你們手裡的一切工作，你們還是不歸向我——
18	從今天起，也就是從九月二十四日起，你們要用心反省；自耶和華殿的奠基之日開始，你們要用心反省：
19	倉裡還有種子嗎？葡萄樹、無花果樹、石榴樹和橄欖樹，還沒有結果子嗎？然而從今天起，我要賜福。’”
 	耶和華揀選所羅巴伯
20	當月二十四日，耶和華的話再次臨到哈該，說：
21	“你要向猶大省長所羅巴伯說：‘我要震動天地，
22	我要掀翻各王國的寶座，摧毀列國的王權；我要掀翻戰車和駕車者，戰馬和騎士；各人都死在彼此的刀下。’
23	萬軍之耶和華宣告：‘撒拉鐵的兒子，我的僕人所羅巴伯啊，到那日我要提拔你！’耶和華宣告：‘我要以你為印戒。’萬軍之耶和華宣告：‘因為我揀選了你。’”
