約書亞記
第一章
 	約書亞受命領導
1	耶和華的僕人摩西死後，耶和華對摩西的助手，努恩的兒子約書亞說：
2	“我的僕人摩西死了，現在你要和全體人民預備過這約旦河，往我所要賜給他們以色列人的地去。
3	你們腳掌踏過的一切地方，我都照著我對摩西的應許賜給你們了。
4	你們的領土從荒野和這黎巴嫩，直到大河，就是幼發拉底河，赫特人的全地，直到日落那邊的大海。
5	在你有生之日，誰也不能抵擋你。我怎樣與摩西同在，也要照樣與你同在。我決不離開你，也不離棄你。
6	要堅強勇敢！因為是你要使這人民得到那地，就是我向他們列祖起誓要賜給他們作為產業之地。
7	你只要非常堅強勇敢地持守遵行我僕人摩西吩咐你的一切律法，不要向左向右偏離，就可以無往不利。
8	這律法書不可離開你的口，總要晝夜默誦，好使你持守遵行書中所記的一切；這樣，你的道路就會亨通，凡事順利。
9	我吩咐你：要堅強勇敢！不要懼怕，不要驚惶，因為你無論往哪裡去，耶和華你的神都必與你同在。”
 	吩咐人民預備過河
10	於是，約書亞吩咐人民的官長說：
11	“你們要走遍營中，吩咐人民說：‘你們要預備食物，因為三天之內，你們就要過這約旦河，去取得耶和華你們的神要賜給你們作為產業之地。’”
12	約書亞又對呂便人、迦得人和瑪拿西半個支派的人說：
13	“你們要記住耶和華僕人摩西吩咐你們的話：‘耶和華你們的神賜你們安息，他要把這地賜給你們。’
14	你們的妻子、孩子和牲畜，都可以留在約旦河東摩西給你們的地上。但你們所有強大的勇士都要整裝列隊，在你們的兄弟前面過河去，幫助他們。
15	等到耶和華使你們的兄弟和你們一樣安居，同樣取得耶和華你們的神要賜給他們的地作為產業，你們才可以回到你們要取得作為產業的領地，就是耶和華的僕人摩西在約旦河東給你們的地方。”
16	他們回答約書亞說：“你吩咐我們的一切，我們都會做；無論你派我們去任何地方，我們都會去。
17	我們從前怎樣凡事聽從摩西，現在也會照樣聽從你。惟願耶和華你的神與你同在，像他從前與摩西同在一樣。
18	無論誰違背你的命令，不聽從你吩咐他的一切話，誰就會被處死。你只要堅強勇敢。”
第二章
 	派人偵察耶利哥
1	努恩的兒子約書亞從金合歡鎮祕密地差派兩個偵探，對他們說：“你們去察看那地，尤其是耶利哥。”二人去了，來到一個名叫喇合的妓女家中，就在那裡住宿。
2	有人向耶利哥王匯報說：“要小心哪！今天晚上有以色列人進來，要偵察這地。”
3	耶利哥王派人到喇合那裡說：“交出那些來到你這裡、進你家中的人！因為他們來偵察這全地。”
4	（但那女人已領走那兩個人，把他們藏起來。）她回答：“不錯，那些人來過我這裡。但是，我不知道他們是從哪裡來的。
5	天黑快要關城門的時候，那些人就出去了。我不知道他們去哪裡。你們趕快去追，就可以追上他們了。”
6	（其實她領他們上了屋頂，藏在她堆放在屋頂的麻稭裡。）
7	耶利哥王派來的人就沿著往約旦河淺灘的路上追趕他們。追趕的人一出城，城門就關上了。
 	兩個偵探與喇合約定
8	兩個偵探還沒躺下，那女人就上到屋頂他們那裡，
9	對他們說：“我知道耶和華已經把這地賜給你們了。我們非常懼怕你們，這地的所有居民都在你們面前勇氣消融了。
10	因為我們聽見你們從埃及出來的時候，耶和華怎樣使紅海的水在你們面前乾了，以及你們怎樣對付約旦河東亞摩利人的兩個王西宏和俄革，把他們滅絕。
11	我們聽見了就都心裡驚恐，因你們的緣故，無人再有勇氣；因為耶和華你們的神是天上和地上的神。
12	所以求你們指著耶和華向我發誓：我既然以忠誠對待你們，你們也要以忠誠對待我的父家，並且給我一個確實的憑據，
13	放過我的父母、兄弟姐妹和他們所有的一切，救我們的命不致死亡。”
14	那兩個人就對她說：“我們以性命向你們擔保，如果你們不把我們這次的行動洩漏出去，當耶和華把這地交給我們的時候，我們一定以忠誠和信實對待你。”
15	於是，那女人用繩子把二人從窗戶縋下去，因為她的房屋是在城牆上，她就住在城牆那裡。
16	她對他們說：“你們往山上去，免得追趕的人找到你們。在那裡躲三天，等候追趕的人回城。之後你們才可以走你們的路。”
17	他們對她說：“如果你不遵照我們的話去行，你叫我們發的這誓就與我們無關了。
18	你要記住，我們來到這地的時候，這條朱紅色線繩，你要繫在你縋我們下去的窗戶上。你也要把你的父母、兄弟和你父的全家，都聚集到你屋裡。
19	任何走出你家門到外面去的人，如果被殺，他的血債就由自己承擔，與我們無關。任何同你在屋裡的人，如果有人下手害他，他的血債就由我們承擔。
20	如果你洩漏我們這次的行動，那麼，你叫我們發的誓就與我們無關了。”
21	那女人回答：“就以你們的話為定吧！”於是打發他們二人走了。他們走了以後，她就把朱紅色線繩繫在窗戶上。
 	向約書亞匯報偵察結果
22	二人走了，來到山上，在那裡待了三天，直到追趕的人回去。追趕的人一路搜尋他們，卻一無所獲。
23	於是二人轉身下山，過了約旦河，回到努恩的兒子約書亞那裡，把他們遇到的一切事向他匯報。
24	他們又對約書亞說：“耶和華真的把那地全交在我們手裡了；那地的所有居民都在我們面前勇氣消融了。”
第三章
 	過河之前的吩咐
1	約書亞清早起來，和全體以色列人從金合歡鎮出發，來到約旦河邊，在那裡安營，等候過河。
2	過了三天，官長們走遍營中，
3	吩咐人民說：“當你們看見利未人祭司抬著耶和華你們神的約櫃，就要從你們安營的地方出發，跟在約櫃後面走。
4	只是你們和約櫃之間要相隔約二千肘，不可靠近，這樣你們就會知道當走的路，因為這條路你們向來沒有走過。”
5	約書亞對人民說：“你們要使自己分別為聖，因為明天耶和華要在你們中間施行奇妙的作為。”
6	約書亞又吩咐祭司說：“你們要抬起約櫃，在人民前面過河去。”於是他們抬起約櫃，走在人民的前面。
7	耶和華對約書亞說：“從今天起，我要使你在全體以色列人眼中被尊為大，這樣他們就知道我從前怎樣與摩西同在，將來也要照樣與你同在。
8	你要吩咐抬約櫃的祭司說：‘你們到了約旦河水邊的時候，要站在約旦河中。’”
9	約書亞對以色列人說：“你們要靠近這裡，聆聽耶和華你們神的話。”
10	約書亞說：“永活的神在你們中間，他要把迦南人、赫特人、希未人、比利洗人、革迦撒人、亞摩利人和耶布斯人從你們面前完全剷除——
11	當全地之主的約櫃在你們前面過約旦河，你們就知道了。
12	所以，你們要從以色列各支派中選十二人，每支派一人。
13	當祭司抬著全地之主耶和華的約櫃，他們的腳掌一踏進約旦河水裡的時候，那從上游流下來的約旦河水就會被截斷，站住成為一道堤壩。”
 	河水立起成為堤壩
14	人民從自己的帳篷出發要過約旦河的時候，抬約櫃的祭司走在人民前面。
15	約旦河水在收割的日子常漫過兩岸。祭司抬著約櫃來到約旦河，他們的腳一沾到水邊，
16	水就站住了——那從上游流下來的水在很遠的地方立起成為堤壩，在撒利坦旁邊的亞當城那裡站住了。那往下流入亞拉巴海（就是鹽海）的水完全被截斷。於是人民就在耶利哥的對面過了河。
17	抬耶和華約櫃的祭司在約旦河中間的乾地上站住，以色列眾人都在乾地上過去，直到全國的人通通過了約旦河。
第四章
 	取石頭作記念
1	全國的人通通過了約旦河，耶和華就對約書亞說：
2	“你們要從人民中選出十二人，每支派一人，
3	吩咐他們說：‘你們要從約旦河中間祭司的腳所站之處，取十二塊石頭，把它們帶過去，安放在今天晚上你們安營的地方。’”
4	於是，約書亞把他從以色列人中挑選的十二人都召了來，每支派一人。
5	約書亞對他們說：“你們要過到約旦河中間，耶和華你們神的約櫃前面，按著以色列支派的數目，每人拿起一塊石頭，扛在肩上。
6	這可以在你們中間作記號；如果日後你們的子孫問你們說：‘這些石頭對你們有甚麼意義？’
7	你們就可以告訴他們：‘這是因為約旦河的水在耶和華約櫃前被截斷了。約櫃過約旦河的時候，約旦河的水被截斷了。所以這些石頭要給以色列人作記念，直到永遠。’”
8	以色列人就照著約書亞的吩咐做了；他們照著耶和華對約書亞的吩咐，按著以色列支派的數目，從約旦河中間取了十二塊石頭，把它們一起帶到他們安營之處，就安放在那裡。
9	約書亞在約旦河中間，在抬約櫃祭司的腳所站之處，又豎立了十二塊石頭。直到今天，那些石頭還在那裡。
10	抬約櫃的祭司站在約旦河中間，直到耶和華吩咐約書亞告訴人民的一切事，就是照著摩西吩咐約書亞的一切事都辦完了；那時，人民急忙過河。
 	全體渡過約旦河
11	當全體人民通通過了河，耶和華的約櫃和祭司才在人民面前過去。
12	呂便的子孫、迦得的子孫和瑪拿西半個支派的人，都照著摩西對他們的吩咐，整裝列隊，在以色列人前面過河。
13	他們約有四萬人，全都武裝起來，在耶和華面前走過去，來到耶利哥的平原，準備打仗。
14	那一天耶和華使約書亞在全體以色列人眼中被尊為大；在他有生之日，人民都敬畏他，好像從前敬畏摩西一樣。
15	耶和華吩咐約書亞說：
16	“你吩咐抬法櫃的祭司從約旦河裡上來。”
17	於是約書亞吩咐祭司說：“你們從約旦河裡上來。”
18	抬耶和華約櫃的祭司從約旦河中間上來，祭司的腳掌從水裡抽出踏到乾地，約旦河的水就流回原處，像以前一樣漲過兩岸。
 	在吉甲安營立石
19	一月十日，人民從約旦河上來以後，就在耶利哥東邊的吉甲安營。
20	約書亞把他們從約旦河裡取來的那十二塊石頭豎立在吉甲。
21	約書亞對以色列人說：“將來如果你們的子孫問父親說：‘這些石頭有甚麼意義？’
22	那時，你們就要告訴子孫說：‘以色列人曾經走乾地過這約旦河。’
23	因為耶和華你們的神在你們面前使約旦河的水乾了，直到你們都過了河，好像耶和華你們的神從前在我們面前使紅海乾了，直到我們都過去一樣，
24	好叫地上萬民都曉得耶和華的手是強勁的手，也要叫你們永遠敬畏耶和華你們的神。”
第五章
 	迦南諸王膽戰心驚
1	當約旦河西亞摩利人所有的王和靠近海邊迦南人所有的王，聽說耶和華怎樣使約旦河的水在以色列人面前乾了，直到他們都過了河，就都膽戰心驚，因以色列人的緣故，勇氣全消。
 	在吉甲受割禮
2	那時，耶和華對約書亞說：“你要製造火石刀，第二次給以色列人行割禮。”
3	約書亞就製造火石刀，在包皮山那裡給以色列人行割禮。
4	約書亞給以色列人行割禮的原因是這樣：所有從埃及出來能作戰的男丁，都已經死在荒野的路上；
5	所有從埃及出來的人民都受過割禮，惟有從埃及出來以後，所有在荒野路上出生的人民都沒有行割禮。
6	以色列人在荒野走了四十年，直到全國從埃及出來能作戰的男丁都滅盡了，因為他們不聽從耶和華的命令。耶和華向他們起誓，不准他們看見耶和華向他們列祖起誓要賜給我們的流奶流蜜之地。
7	耶和華興起他們的子孫接替他們，約書亞給這新生的一代行割禮。他們是未受割禮之人，因為他們在路上沒有行割禮。
8	全國的人受了割禮之後，都住在營中自己的地方，直到痊癒。
