但以理書
第一章
 	巴比倫王攻陷耶路撒冷
1	猶大王約雅敬在位第三年，巴比倫王尼布甲尼撒來到耶路撒冷，把城圍困。
2	主把猶大王約雅敬和神的殿中部分器物都交在尼布甲尼撒手中。他就把器物帶到示拿地他神明的廟裡，放在他神明的倉庫中。
 	但以理和三友入宮受訓
3	王命令內臣長亞施琵拿，從以色列人王室貴族後裔中帶一些到宮裡來，
4	他們必須是沒有殘疾、容貌俊美、學識淵博、見多識廣、才思敏捷的年輕人，有能力在王宮裡服侍，並且要亞施琵拿教他們學習迦勒底的文學和語言。
5	王從御用的佳餚美酒中，指定每天供應他們的份額，教養他們三年，期滿後他們就可以在王面前服侍。
6	他們中間有猶大人但以理、哈納尼雅、米沙利和亞撒利雅，
7	內臣長給他們起了新名，稱但以理為伯提沙撒，哈納尼雅為沙得拉，米沙利為米煞，亞撒利雅為亞伯尼歌。
 	但以理定意不用御膳
8	然而，但以理定意不讓御用佳餚美酒玷污自己，所以求內臣長容他不玷污自己，
9	於是神使但以理在內臣長面前蒙恩惠和憐憫。
10	內臣長對但以理說：“我害怕王上，他已指定了你們的飲食；為甚麼要讓他見到你們的面色比同輩的年輕人憔悴難看呢？如果這樣，你們就使我的腦袋在王面前保不住了！”
11	但以理對內臣長指派照管但以理、哈納尼雅、米沙利、亞撒利雅的管事說：
12	“求你測試僕人們十天，只給我們吃素菜、喝清水，
13	再來看看我們的容貌和那些享用御膳的年輕人的容貌，就照你所看到的對待僕人們吧！”
14	管事答應這事，就測試他們十天。
15	十天期滿之後，他們容貌俊美，身體強壯，勝過所有享用御膳的年輕人。
16	從此，管事就繼續撤去他們的佳餚美酒，單給他們素菜。
 	神賜超群智慧給四人
17	這四個年輕人，神在各種文學和智慧的學問上都賜給他們知識和聰明；但以理還領悟一切異象和異夢。
18	王指定把那些年輕人帶進宮中的日期滿了，內臣長就領他們到尼布甲尼撒面前。
19	王與他們談話，發現沒有人能比得上但以理、哈納尼雅、米沙利、亞撒利雅，這四人就在王面前服侍，
20	王無論考問他們何事，都發現他們的智慧聰明勝過全國的法術師和術士十倍。
21	直到居魯士王元年，但以理還健在。
第二章
 	尼布甲尼撒王的異夢
1	尼布甲尼撒在位第二年，做了個夢，心神煩亂，不能入眠。
2	於是王召了法術師、術士、巫師和迦勒底人來，要他們把夢告訴他。他們就來了，站在王面前。
3	王對他們說：“我做了一個夢，心神煩亂，想要知道這個夢是怎麼回事。”
4	那些迦勒底人用亞蘭話對王說：“願王萬歲！請將那夢告訴僕人，我們就可以解釋夢的含義。”
5	王回答迦勒底人說：“我已經打定主意，你們如果不能把那夢和它的含義告訴我，你們將被碎屍萬段，你們的房屋將成為瓦礫；
6	你們如果能講出那夢和它的含義，就可以從我獲得饋贈、賞賜和大尊榮。所以，你們告訴我那夢和它的含義吧！”
7	他們第二次回答王說：“請王將夢告訴僕人們，我們好向王解釋夢的含義。”
8	王回答說：“我清楚知道你們在拖延時間，因為你們看到我已經打定主意。
9	如果你們不能把夢告訴我，我只有懲罰你們；因為你們串通好了，企圖以謊言騙我，等待情況發生變化。所以，把夢告訴我吧！這樣我就知道你們真的可以向我解釋夢的含義。”
 	無解智士陷入殺身之禍
10	迦勒底人在王面前回答說：“世上沒有人能把王所問的事說出來！從來沒有任何一位偉大而有權柄的君王向法術師、術士，或迦勒底人要求過這樣的事。
11	王所問的事甚難，除了那不和血肉凡人同住的神明以外，沒有人能向王講明這事。”
12	為此王就勃然大怒，下令殺盡巴比倫所有的智士。
13	御旨既頒布，智士將被處決，就有人找尋但以理和他的同伴，要處決他們。
 	但以理挺身為智士解圍
14	當王的護衛長亞略出來要殺巴比倫的智士時，但以理婉轉機敏地應對。
15	他問王的護衛長亞略：“王所下的御旨為何如此火急？”亞略就將緣由告訴但以理。
16	但以理就進去求王寬限，好讓他有時間向王解釋夢的含義。
17	但以理回到家中，將這事告訴同伴哈納尼雅、米沙利、亞撒利雅，
18	要他們為這奧祕祈求天上的神施憐憫，免得但以理和同伴以及巴比倫其餘的智士一同滅亡。
 	但以理得啟示後讚美神
19	在夜間的異象中，這奧祕啟示給但以理。他就稱頌天上的神，
20	說：“願神的名永永遠遠受稱頌，因為智慧和能力都屬乎他；
21	他改變時間、季節，廢王、立王；他賜智慧給智士，賜知識給聰明人；
22	他啟示深奧和隱密的事，洞察黑暗中的一切，光明與他住在一起；
23	我列祖的神啊，我稱謝你，讚美你！因為你將智慧才能賜給我，我們所求的，你已顯示給我，將王的事顯示給我們。”
 	但以理晉見王說明夢的原委
24	於是但以理進去，見奉王指派要殺盡巴比倫智士的亞略，對他說：“不要殺巴比倫的智士，請帶我到王面前，我會向王解釋夢的含義。”
25	亞略就急忙帶但以理到王面前，對王說：“我在被擄的猶大人中，找到一個人能夠向王解釋夢的含義。”
26	王就問那又稱為伯提沙撒的但以理說：“你果真能將我所做的夢和它的含義告訴我嗎？”
27	但以理在王面前回答說：“王所問的奧祕，智士、術士、法術師和占星家都不能告訴王，
28	但有一位在天上的神能夠啟示奧祕，他已經把以後必有的事向尼布甲尼撒王你顯示了，你的夢和你在床上時腦海中所見的異象就是這樣——
29	王啊，你在床上思想的是以後的事，啟示奧祕的神已經將以後要發生的事向你顯示。
30	現在，這奧祕啟示給我，並非因我有超越所有活人的智慧，而是要使王了解夢的含義和你所想明白的事。”
 	但以理向王敘述夢的內容
31	“王啊，你在夢中觀看，看見一座巨大的像！這像極大，光耀閃亮，立在你面前，樣貌可怕。
32	這像的頭是精金的，胸膛和手臂是銀的，肚腹和腰是銅的，
33	腿是鐵的，腳部分是鐵，部分是泥。
34	你繼續觀看，就看見一塊非人手鑿成的石頭，擊中這像的鐵泥混合的雙腳，把腳砸碎了，
35	於是鐵、泥、銅、銀、金全都一同被砸得粉碎，如同夏天碾禾場上的糠秕，被風吹散，無處可尋；那打碎這像的石頭卻變成一座大山，充滿全地。”
 	但以理向王解析夢的含義
36	“這就是夢的內容，容我向王解釋這夢的含義。
37	王啊，你是眾王之王！天上的神已將王國、權柄、能力和尊榮都賜給你，
38	無論世人住在何地，無論田野有甚麼野獸，天空有甚麼飛鳥，他全都交在你手裡，使你統轄這一切，你就是那金頭。
39	在你以後，另一王國將興起，不及於你；之後有第三個王國，就是那銅的，會統轄全地。
40	又有第四個王國，會剛硬如鐵；正如鐵能砸碎擊破萬物，又能壓碎一切，那王國也會砸碎壓碎列國。
41	你既看見那像的腳和腳趾，部分是陶匠的泥，部分是鐵，那王國也勢必分裂；你既看見鐵和泥混合在一起，那王國也會有鐵的堅硬。
42	然而，正如腳趾部分是鐵，部分是泥，那王國也會部分強硬，部分脆弱。
43	你既看見鐵與泥混合，那國民也會彼此攙雜，卻不能彼此結合，正如鐵與泥不能融合一樣。
44	當那些君王在位時，天上的神將會另立一個永不滅亡的王國，這王國的主權不留給別的民族，卻會砸碎、滅絕那一切的王國，而這王國將存到永遠——
45	正如你看見那塊從山而出、非人手鑿成的石頭，將把鐵、銅、泥、銀和金全都砸碎。偉大的神已經把以後必有的事都顯示給王了。這夢是確實的，夢的含義也是可靠的。”
 	巴比倫王誠服並晉升但以理
46	尼布甲尼撒王就臉伏於地，向但以理下拜，並吩咐人給但以理奉上供物和香品。
